 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2905	MD10_SEM-ECS_2021.03.24_s0:0563-1920:3	7841.616	169.137	7.116	170	149	218	0.753	169	3	1.312	0.762	0.912	210.406	66.611	246.344
2906	MD10_SEM-ECS_2021.03.24_s0:0564-1930:3	6401.733	172.808	12.333	167	155	348	0.615	171	3	2.057	0.486	0.901	215.838	70.206	88.304
2907	MD10_SEM-ECS_2021.03.24_s0:0565-1919:3	6726.213	209.342	18.706	210	169	322	0.754	207	3	1.697	0.589	0.944	229.330	65.877	195.546
2908	MD10_SEM-ECS_2021.03.24_s0:0566-1926:3	3400.287	220.435	17.793	217	182	421	0.604	219	3	2.797	0.358	0.876	232.391	97.053	38.992
2909	MD10_SEM-ECS_2021.03.24_s0:0567-1933:3	5245.770	187.375	16.233	181	156	432	0.621	185	3	2.707	0.369	0.925	248.138	81.679	79.530
2910	MD10_SEM-ECS_2021.03.24_s0:0568-1924:3	7429.255	170.634	8.677	168	154	267	0.537	169	3	2.484	0.403	0.809	185.382	28.365	164.210
2911	MD10_SEM-ECS_2021.03.24_s0:0569-1927:3	4759.050	199.060	27.102	180	158	442	0.817	194	3	1.104	0.906	0.937	224.801	72.911	155.928
2912	MD10_SEM-ECS_2021.03.24_s0:0570-1938:3	4752.290	213.092	15.994	209	178	302	0.583	212	3	3.039	0.329	0.931	217.720	46.092	102.774
2913	MD10_SEM-ECS_2021.03.24_s0:0571-1934:3	3981.648	232.570	17.186	221	198	331	0.560	229	3	2.231	0.448	0.860	262.582	107.011	64.334
2914	MD10_SEM-ECS_2021.03.24_s0:0572-1937:3	7253.495	180.034	18.911	176	163	592	0.755	178	3	1.507	0.664	0.903	252.657	157.919	61.828
2915	MD10_SEM-ECS_2021.03.24_s0:0573-1927:3	3359.727	133.105	27.151	131	126	695	0.799	131	3	1.391	0.719	0.928	187.262	95.821	203.905
2916	MD10_SEM-ECS_2021.03.24_s0:0574-1932:3	5252.531	227.934	26.306	230	198	592	0.781	226	3	1.363	0.734	0.923	250.689	95.556	40.940
2917	MD10_SEM-ECS_2021.03.24_s0:0575-1933:3	6523.413	172.376	22.425	131	126	249	0.593	179	3	1.543	0.648	0.842	177.777	47.632	122.190
2918	MD10_SEM-ECS_2021.03.24_s0:0576-1923:3	682.761	332.069	39.770	326	267	440	0.857	326	3	1.158	0.863	0.962	306.088	50.654	20.396
2919	MD10_SEM-ECS_2021.03.24_s0:0577-1945:3	5103.810	200.672	55.164	179	161	545	0.701	183	3	1.584	0.631	0.923	245.980	118.599	63.966
2920	MD10_SEM-ECS_2021.03.24_s0:0578-1950:3	5380.971	198.943	14.832	187	169	258	0.679	197	3	2.238	0.447	0.949	217.187	65.140	105.126
2921	MD10_SEM-ECS_2021.03.24_s0:0579-1942:3	7348.135	187.668	10.394	183	168	326	0.742	186	3	1.909	0.524	0.920	242.226	88.804	238.827
2922	MD10_SEM-ECS_2021.03.24_s0:0580-1951:3	4840.170	185.088	7.652	182	161	211	0.697	184	3	1.686	0.593	0.905	215.303	82.805	54.214
2923	MD10_SEM-ECS_2021.03.24_s0:0581-1940:3	1514.243	188.812	9.438	186	168	232	0.787	187	3	1.536	0.651	0.928	213.231	62.124	18.960
2924	MD10_SEM-ECS_2021.03.24_s0:0582-1949:3	5800.092	205.946	21.377	191	173	408	0.793	201	3	1.252	0.799	0.932	237.841	88.317	166.929
2925	MD10_SEM-ECS_2021.03.24_s0:0583-1948:3	4042.488	199.050	14.182	196	170	265	0.754	196	3	1.537	0.651	0.907	206.503	53.368	126.841
2926	MD10_SEM-ECS_2021.03.24_s0:0584-1947:3	5698.691	215.161	18.705	210	183	318	0.797	211	3	1.404	0.712	0.943	246.574	64.878	222.427
2927	MD10_SEM-ECS_2021.03.24_s0:0585-1959:3	5178.170	215.300	37.704	199	180	804	0.541	205	3	1.944	0.514	0.779	239.068	58.194	9.027
2928	MD10_SEM-ECS_2021.03.24_s0:0586-1953:3	8382.417	175.714	40.457	168	150	573	0.752	169	3	1.487	0.672	0.947	223.648	82.442	185.247
2929	MD10_SEM-ECS_2021.03.24_s0:0587-1975:3	10849.822	161.030	15.205	152	127	203	0.479	160	3	3.314	0.302	0.800	171.167	31.418	47.652
2930	MD10_SEM-ECS_2021.03.24_s0:0588-1956:3	5827.132	169.661	5.428	168	156	210	0.804	169	3	1.286	0.778	0.939	211.494	68.496	190.912
2931	MD10_SEM-ECS_2021.03.24_s0:0589-2031:3	38802.478	148.400	29.075	129	125	366	0.216	132	3	3.429	0.292	0.535	172.914	44.381	23.500
2932	MD10_SEM-ECS_2021.03.24_s0:0590-1961:3	5746.011	162.185	16.941	160	147	333	0.841	160	3	1.080	0.926	0.950	212.551	83.850	149.769
2933	MD10_SEM-ECS_2021.03.24_s0:0591-1958:3	4137.128	203.565	9.166	202	183	248	0.854	202	3	1.197	0.835	0.942	222.947	40.138	134.415
2934	MD10_SEM-ECS_2021.03.24_s0:0592-1960:3	6023.172	172.660	9.782	171	154	285	0.751	171	3	1.813	0.552	0.928	193.751	65.385	92.379
2935	MD10_SEM-ECS_2021.03.24_s0:0593-1963:3	5360.691	158.159	9.188	152	144	237	0.788	156	3	1.181	0.847	0.935	173.775	33.445	105.763
2936	MD10_SEM-ECS_2021.03.24_s0:0594-1966:3	3772.088	185.163	10.806	179	169	250	0.692	183	3	2.262	0.442	0.940	227.551	95.198	36.523
2937	MD10_SEM-ECS_2021.03.24_s0:0595-1969:3	6394.973	208.950	12.588	207	181	259	0.692	207	3	2.346	0.426	0.906	231.182	66.273	196.617
2938	MD10_SEM-ECS_2021.03.24_s0:0596-1963:3	4461.609	238.056	16.692	228	197	409	0.813	235	3	1.060	0.944	0.928	272.890	108.206	36.895
2939	MD10_SEM-ECS_2021.03.24_s0:0597-1963:3	5637.851	236.572	21.942	221	166	307	0.722	235	3	1.651	0.606	0.913	239.793	70.871	37.109
2940	MD10_SEM-ECS_2021.03.24_s0:0598-1990:3	12100.424	204.884	36.833	184	129	359	0.489	200	3	3.298	0.303	0.808	182.573	42.659	61.312
