 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1005	MD14_SEM_Sam31-ECS_2021.03.24_s0:0217-1020:3	8395.937	311.535	47.325	284	233	500	0.726	302	3	1.730	0.578	0.931	349.105	117.087	82.721
1006	MD14_SEM_Sam31-ECS_2021.03.24_s0:0218-1014:3	8044.416	376.487	85.676	326	264	912	0.767	350	3	1.386	0.722	0.940	515.247	167.317	139.525
1007	MD14_SEM_Sam31-ECS_2021.03.24_s0:0219-1026:3	15406.071	197.178	18.045	194	165	463	0.735	194	3	1.223	0.818	0.922	242.690	63.052	168.092
1008	MD14_SEM_Sam31-ECS_2021.03.24_s0:0220-1016:3	6611.293	272.561	38.489	263	200	610	0.504	269	3	3.145	0.318	0.802	263.658	46.574	15.146
1009	MD14_SEM_Sam31-ECS_2021.03.24_s0:0221-1015:3	5374.211	336.697	57.585	327	247	824	0.549	326	3	1.545	0.647	0.785	517.716	270.792	253.336
1010	MD14_SEM_Sam31-ECS_2021.03.24_s0:0222-1032:3	9423.459	322.052	62.092	339	145	509	0.597	321	3	2.104	0.475	0.837	325.424	95.172	168.886
1011	MD14_SEM_Sam31-ECS_2021.03.24_s0:0223-1032:3	14574.589	287.359	49.669	244	210	862	0.782	284	3	1.228	0.814	0.927	429.121	118.546	153.899
1012	MD14_SEM_Sam31-ECS_2021.03.24_s0:0224-1030:3	8788.018	418.217	73.787	368	292	897	0.773	398	3	1.616	0.619	0.943	620.456	179.397	179.288
1013	MD14_SEM_Sam31-ECS_2021.03.24_s0:0225-1036:3	5191.690	243.969	20.848	233	202	379	0.463	239	3	3.730	0.268	0.769	301.722	73.704	153.031
1014	MD14_SEM_Sam31-ECS_2021.03.24_s0:0226-1039:3	13432.147	383.182	47.294	347	318	679	0.770	367	3	1.379	0.725	0.936	614.824	219.998	154.990
1015	MD14_SEM_Sam31-ECS_2021.03.24_s0:0227-1043:3	11823.264	342.687	25.011	344	292	533	0.752	339	3	1.479	0.676	0.937	504.358	153.243	193.158
1016	MD14_SEM_Sam31-ECS_2021.03.24_s0:0228-1046:3	11093.182	274.939	40.209	283	148	451	0.747	284	3	1.779	0.562	0.950	311.523	114.441	154.285
1017	MD14_SEM_Sam31-ECS_2021.03.24_s0:0229-1031:3	7463.055	260.194	40.188	225	210	512	0.714	246	3	1.885	0.530	0.915	270.486	62.583	42.108
1018	MD14_SEM_Sam31-ECS_2021.03.24_s0:0230-1032:3	7855.136	243.213	37.654	216	198	454	0.700	232	3	1.985	0.504	0.938	317.099	78.540	114.972
1019	MD14_SEM_Sam31-ECS_2021.03.24_s0:0231-1038:3	4522.449	296.317	25.319	281	253	472	0.613	294	3	1.238	0.808	0.845	340.480	101.827	243.943
1020	MD14_SEM_Sam31-ECS_2021.03.24_s0:0232-1039:3	8889.418	410.230	65.065	355	323	927	0.749	390	3	1.582	0.632	0.935	507.408	156.136	233.235
1021	MD14_SEM_Sam31-ECS_2021.03.24_s0:0233-1040:3	8260.737	190.756	9.866	187	170	225	0.598	190	3	2.332	0.429	0.894	224.051	62.544	105.500
1022	MD14_SEM_Sam31-ECS_2021.03.24_s0:0234-1043:3	12019.304	225.026	30.894	198	153	442	0.726	219	3	1.489	0.672	0.916	271.250	56.091	78.163
1023	MD14_SEM_Sam31-ECS_2021.03.24_s0:0235-1047:3	11113.462	269.137	27.631	275	147	331	0.696	273	3	1.411	0.709	0.869	259.112	66.397	139.769
1024	MD14_SEM_Sam31-ECS_2021.03.24_s0:0236-1040:3	9829.060	372.058	51.987	361	252	583	0.729	362	3	1.623	0.616	0.937	496.816	201.103	226.768
1025	MD14_SEM_Sam31-ECS_2021.03.24_s0:0237-1059:3	12560.105	289.290	24.096	286	218	370	0.682	288	3	2.137	0.468	0.932	349.241	130.730	120.492
1026	MD14_SEM_Sam31-ECS_2021.03.24_s0:0238-1045:3	7368.415	251.709	11.345	249	192	332	0.779	251	3	1.362	0.734	0.932	315.284	96.257	41.791
1027	MD14_SEM_Sam31-ECS_2021.03.24_s0:0239-1055:3	10376.621	465.863	69.859	423	367	1072	0.710	455	3	2.066	0.484	0.955	604.150	211.260	128.636
1028	MD14_SEM_Sam31-ECS_2021.03.24_s0:0240-1054:3	15372.271	281.157	36.415	261	229	599	0.819	270	3	1.295	0.772	0.944	400.309	122.980	111.066
1029	MD14_SEM_Sam31-ECS_2021.03.24_s0:0241-1056:3	13993.228	332.058	77.362	288	208	807	0.729	313	3	1.270	0.788	0.912	450.885	151.750	108.088
1030	MD14_SEM_Sam31-ECS_2021.03.24_s0:0242-1048:3	8747.457	326.383	58.621	269	226	557	0.817	311	3	1.179	0.848	0.950	401.923	78.682	101.099
1031	MD14_SEM_Sam31-ECS_2021.03.24_s0:0243-1055:3	10565.901	245.505	30.557	235	143	365	0.746	244	3	1.134	0.882	0.885	274.987	93.174	77.152
1032	MD14_SEM_Sam31-ECS_2021.03.24_s0:0244-1049:3	10112.980	343.752	77.466	284	234	744	0.720	326	3	1.620	0.617	0.919	534.351	154.871	185.826
1033	MD14_SEM_Sam31-ECS_2021.03.24_s0:0245-1053:3	11106.702	326.548	49.303	306	233	558	0.780	317	3	1.485	0.674	0.934	428.154	123.027	97.372
1034	MD14_SEM_Sam31-ECS_2021.03.24_s0:0246-1050:3	4704.969	332.932	58.296	293	263	626	0.811	314	3	1.514	0.660	0.951	485.368	121.409	26.720
1035	MD14_SEM_Sam31-ECS_2021.03.24_s0:0247-1046:3	3109.606	293.402	26.975	284	243	441	0.640	288	3	2.036	0.491	0.896	358.360	106.893	227.917
1036	MD14_SEM_Sam31-ECS_2021.03.24_s0:0248-1045:3	2805.406	218.005	22.748	205	168	291	0.689	210	3	1.443	0.693	0.875	235.201	38.868	20.475
1037	MD14_SEM_Sam31-ECS_2021.03.24_s0:0249-1071:3	9599.219	419.470	63.109	421	314	758	0.581	411	3	2.928	0.342	0.893	528.817	170.107	191.846
1038	MD14_SEM_Sam31-ECS_2021.03.24_s0:0250-1049:3	2156.444	150.787	6.767	150	143	218	0.555	150	3	2.798	0.357	0.807	206.855	65.354	100.260
1039	MD14_SEM_Sam31-ECS_2021.03.24_s0:0251-1058:3	8341.857	200.438	36.560	179	165	334	0.799	186	3	1.305	0.767	0.937	237.944	68.028	94.853
1040	MD14_SEM_Sam31-ECS_2021.03.24_s0:0252-1070:3	18779.318	224.422	58.097	178	164	512	0.614	196	3	1.611	0.621	0.842	274.608	97.275	78.214
1041	MD14_SEM_Sam31-ECS_2021.03.24_s0:0253-1075:3	8463.537	414.226	67.696	366	323	887	0.686	400	3	2.111	0.474	0.942	556.940	154.764	183.640
1042	MD14_SEM_Sam31-ECS_2021.03.24_s0:0254-1072:3	15750.832	198.663	16.685	188	171	318	0.715	194	3	1.612	0.620	0.916	229.734	41.559	52.882
1043	MD14_SEM_Sam31-ECS_2021.03.24_s0:0255-1067:3	10930.942	224.428	30.710	204	179	420	0.736	216	3	1.727	0.579	0.957	286.436	76.415	136.829
1044	MD14_SEM_Sam31-ECS_2021.03.24_s0:0256-1092:3	13729.587	281.790	49.011	303	148	430	0.647	291	3	2.341	0.427	0.943	290.378	68.109	143.930
1045	MD14_SEM_Sam31-ECS_2021.03.24_s0:0257-1077:3	9734.419	283.781	24.723	274	173	422	0.734	280	3	1.491	0.670	0.946	319.830	122.635	114.745
1046	MD14_SEM_Sam31-ECS_2021.03.24_s0:0258-1075:3	8767.738	371.092	64.093	344	277	720	0.718	356	3	1.659	0.603	0.945	476.741	119.856	216.712
1047	MD14_SEM_Sam31-ECS_2021.03.24_s0:0259-1076:3	13756.628	213.826	42.593	189	133	504	0.750	201	3	1.325	0.755	0.905	301.467	101.057	118.831
1048	MD14_SEM_Sam31-ECS_2021.03.24_s0:0260-1061:3	2156.444	171.505	49.184	150	145	402	0.678	151	3	2.301	0.435	0.923	227.781	85.251	131.013
1049	MD14_SEM_Sam31-ECS_2021.03.24_s0:0261-1076:3	9281.499	379.088	59.875	364	293	855	0.763	364	3	1.143	0.875	0.897	467.715	134.385	136.205
1050	MD14_SEM_Sam31-ECS_2021.03.24_s0:0262-1085:3	11958.464	291.137	23.079	289	241	526	0.743	289	3	1.698	0.589	0.950	446.952	130.611	145.188
1051	MD14_SEM_Sam31-ECS_2021.03.24_s0:0263-1090:3	15602.111	303.503	30.022	295	164	566	0.732	298	3	1.841	0.543	0.940	420.921	138.940	178.883
1052	MD14_SEM_Sam31-ECS_2021.03.24_s0:0264-1078:3	8402.697	336.093	44.741	313	244	685	0.812	323	3	1.202	0.832	0.937	362.032	88.199	102.765
1053	MD14_SEM_Sam31-ECS_2021.03.24_s0:0265-1085:3	7260.255	422.540	47.144	382	337	737	0.632	413	3	2.358	0.424	0.941	494.518	141.420	193.334
1054	MD14_SEM_Sam31-ECS_2021.03.24_s0:0266-1088:3	11830.024	331.071	53.245	269	242	593	0.819	323	3	1.486	0.673	0.953	433.827	113.514	68.750
1055	MD14_SEM_Sam31-ECS_2021.03.24_s0:0267-1102:3	11532.583	264.108	44.208	270	143	365	0.575	274	3	3.296	0.303	0.922	302.117	78.485	117.441
