 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2182	MD08_GAL-ECS_2021.03.24_s1:0022-1014:4	5455.331	470.533	76.992	446	425	1705	0.832	451	4	1.188	0.842	0.946	1062.835	508.709	19.457
2183	MD08_GAL-ECS_2021.03.24_s1:0023-1034:4	3826.168	450.445	69.952	433	415	1565	0.816	439	4	1.360	0.735	0.942	946.877	442.171	37.371
2184	MD08_GAL-ECS_2021.03.24_s1:0024-1029:4	2203.764	459.675	87.102	430	418	1199	0.583	437	4	2.357	0.424	0.822	938.016	396.432	37.571
2185	MD08_GAL-ECS_2021.03.24_s1:0025-1040:4	3941.088	474.015	64.272	455	429	1174	0.745	459	4	1.444	0.693	0.907	1035.481	530.671	9.952
2186	MD08_GAL-ECS_2021.03.24_s1:0026-1038:4	2494.445	474.114	63.329	460	427	1010	0.747	457	4	1.817	0.551	0.916	1199.423	569.658	33.859
2187	MD08_GAL-ECS_2021.03.24_s1:0027-1047:4	4563.009	538.744	233.254	405	397	1970	0.671	432	4	1.740	0.575	0.861	1067.901	522.940	23.287
2188	MD08_GAL-ECS_2021.03.24_s1:0028-1044:4	1223.562	578.680	251.984	453	433	1965	0.753	470	4	2.082	0.480	0.960	1131.022	528.564	38.917
2189	MD08_GAL-ECS_2021.03.24_s1:0029-1054:4	2845.966	510.656	154.064	473	446	1885	0.790	475	4	1.326	0.754	0.916	1430.462	923.987	19.387
2190	MD08_GAL-ECS_2021.03.24_s1:0030-1059:4	3224.526	477.073	86.826	453	439	1379	0.865	458	4	1.320	0.758	0.941	1252.675	634.617	18.222
2191	MD08_GAL-ECS_2021.03.24_s1:0031-1064:4	4508.929	577.628	309.436	462	443	3529	0.755	476	4	1.571	0.636	0.913	1486.774	784.592	25.813
2192	MD08_GAL-ECS_2021.03.24_s1:0032-1107:4	9666.819	532.030	256.595	456	406	3685	0.141	465	4	2.454	0.408	0.352	917.063	722.887	5.685
2193	MD08_GAL-ECS_2021.03.24_s1:0033-1075:4	3420.567	482.445	142.294	435	410	1565	0.696	443	4	1.511	0.662	0.894	1050.785	513.793	21.761
2194	MD08_GAL-ECS_2021.03.24_s1:0034-1102:4	4772.570	450.004	58.746	436	416	1393	0.799	438	4	1.237	0.809	0.952	938.146	405.783	26.827
2195	MD08_GAL-ECS_2021.03.24_s1:0035-1101:4	3542.247	454.559	34.753	450	413	714	0.557	448	4	2.228	0.449	0.821	844.218	344.756	15.632
2196	MD08_GAL-ECS_2021.03.24_s1:0036-1126:4	4252.049	429.083	25.450	425	398	703	0.773	424	4	1.062	0.942	0.934	890.006	442.074	31.526
2197	MD08_GAL-ECS_2021.03.24_s1:0037-1126:4	4630.609	419.559	24.121	411	388	644	0.800	414	4	1.186	0.843	0.944	796.156	370.696	21.765
2198	MD08_GAL-ECS_2021.03.24_s1:0038-1123:4	2535.005	395.728	15.686	395	378	590	0.792	393	4	1.431	0.699	0.932	533.812	133.047	15.773
2199	MD08_GAL-ECS_2021.03.24_s1:0039-1132:4	3873.488	445.162	36.489	436	413	847	0.729	437	4	1.900	0.526	0.900	941.294	482.470	34.440
2200	MD08_GAL-ECS_2021.03.24_s1:0040-1148:4	6415.253	461.473	67.152	439	394	1382	0.660	445	4	2.352	0.425	0.895	935.172	437.849	14.584
2201	MD08_GAL-ECS_2021.03.24_s1:0041-1141:4	2122.644	403.296	28.337	397	377	650	0.745	397	4	1.743	0.574	0.902	567.098	147.574	11.178
2202	MD08_GAL-ECS_2021.03.24_s1:0042-1153:4	5184.930	464.656	190.168	423	409	2635	0.802	431	4	1.528	0.654	0.943	1108.479	605.115	19.597
2203	MD08_GAL-ECS_2021.03.24_s1:0043-1152:4	3576.047	435.157	79.967	416	391	1318	0.820	418	4	1.377	0.726	0.965	823.112	450.035	16.236
2204	MD08_GAL-ECS_2021.03.24_s1:0044-1255:4	5042.970	405.130	53.614	385	361	826	0.649	389	4	2.255	0.443	0.920	616.709	195.379	17.791
2205	MD08_GAL-ECS_2021.03.24_s1:0045-1265:4	2230.804	377.945	23.101	378	347	553	0.472	375	4	4.343	0.230	0.898	581.714	207.806	16.179
2206	MD08_GAL-ECS_2021.03.24_s1:0046-1289:4	10011.580	424.663	100.828	379	345	912	0.327	386	4	6.239	0.160	0.830	640.398	223.010	37.177
2207	MD08_GAL-ECS_2021.03.24_s1:0047-1299:4	2866.246	528.611	81.723	456	431	880	0.778	505	4	1.911	0.523	0.950	780.395	216.016	37.561
2208	MD08_GAL-ECS_2021.03.24_s1:0048-1299:4	2785.126	549.585	143.435	498	405	1413	0.527	506	4	2.316	0.432	0.845	726.823	250.165	26.386
2209	MD08_GAL-ECS_2021.03.24_s1:0049-1322:4	22612.245	439.762	92.306	408	390	1464	0.485	413	4	2.745	0.364	0.876	789.863	273.671	26.790
2210	MD08_GAL-ECS_2021.03.24_s1:0050-1306:4	1135.682	514.714	40.613	486	440	635	0.832	507	4	1.875	0.533	0.968	630.106	82.108	56.536
2211	MD08_GAL-ECS_2021.03.24_s1:0051-1334:4	35841.592	430.689	102.126	388	364	1543	0.431	394	4	3.457	0.289	0.870	825.315	264.854	63.979
2212	MD08_GAL-ECS_2021.03.24_s1:0052-1333:4	7104.774	392.385	38.299	383	360	840	0.778	385	4	1.479	0.676	0.912	625.738	210.050	20.385
2213	MD08_GAL-ECS_2021.03.24_s1:0053-1340:4	4475.129	447.219	163.166	398	367	2224	0.189	404	4	3.504	0.285	0.416	581.247	345.393	4.789
2214	MD08_GAL-ECS_2021.03.24_s1:0054-1330:4	4955.090	372.850	20.287	370	353	642	0.810	369	4	1.323	0.756	0.940	627.060	225.965	30.106
2215	MD08_GAL-ECS_2021.03.24_s1:0055-1340:4	7098.014	362.112	33.344	345	328	735	0.651	354	4	2.271	0.440	0.908	572.696	174.216	83.235
2216	MD08_GAL-ECS_2021.03.24_s1:0056-1363:4	19103.798	470.367	256.120	399	367	3979	0.134	404	4	2.294	0.436	0.351	771.935	386.986	18.706
2217	MD08_GAL-ECS_2021.03.24_s1:0057-1349:4	12533.065	387.480	49.354	367	337	944	0.719	372	4	1.026	0.974	0.904	630.314	193.829	94.834
2218	MD08_GAL-ECS_2021.03.24_s1:0058-1336:4	3488.167	361.386	30.587	352	334	621	0.757	355	4	1.509	0.663	0.934	543.869	174.749	55.605
2219	MD08_GAL-ECS_2021.03.24_s1:0059-1359:4	5887.972	406.869	63.130	390	369	1135	0.556	393	4	2.841	0.352	0.902	669.050	251.897	31.434
2220	MD08_GAL-ECS_2021.03.24_s1:0060-1348:4	2372.765	430.157	64.299	405	379	804	0.690	408	4	2.314	0.432	0.926	840.547	340.078	22.906
2221	MD08_GAL-ECS_2021.03.24_s1:0061-1365:4	4285.849	459.798	183.740	397	375	2177	0.617	403	4	2.577	0.388	0.929	1018.756	507.828	31.637
2222	MD08_GAL-ECS_2021.03.24_s1:0062-1367:4	3859.968	393.165	68.999	376	347	1382	0.380	379	4	2.334	0.428	0.638	585.688	244.434	14.818
2223	MD08_GAL-ECS_2021.03.24_s1:0063-1357:4	1865.764	382.275	11.221	375	364	434	0.871	380	4	1.286	0.777	0.942	493.315	95.209	14.728
2224	MD08_GAL-ECS_2021.03.24_s1:0064-1367:4	7868.656	371.918	23.750	367	342	792	0.541	367	4	2.555	0.391	0.855	551.223	183.534	39.081
2225	MD08_GAL-ECS_2021.03.24_s1:0065-1357:4	1027.522	507.763	206.386	409	388	1359	0.845	425	4	1.533	0.652	0.971	998.472	642.096	16.803
2226	MD08_GAL-ECS_2021.03.24_s1:0066-1362:4	4062.768	349.727	10.833	343	332	479	0.660	348	4	1.832	0.546	0.930	504.612	184.051	69.040
2227	MD08_GAL-ECS_2021.03.24_s1:0067-1367:4	2413.325	389.871	68.573	376	358	1291	0.565	381	4	3.077	0.325	0.927	649.204	323.208	19.162
2228	MD08_GAL-ECS_2021.03.24_s1:0068-1370:4	14047.308	375.458	44.510	369	335	771	0.496	366	4	3.032	0.330	0.894	701.438	220.891	110.318
2229	MD08_GAL-ECS_2021.03.24_s1:0069-1377:4	20800.562	459.392	199.620	383	359	1849	0.393	386	4	3.526	0.284	0.785	1032.385	371.512	57.050
2230	MD08_GAL-ECS_2021.03.24_s1:0070-1363:4	1879.284	438.568	136.831	386	371	1451	0.176	391	4	5.196	0.192	0.472	582.292	272.880	4.040
2231	MD08_GAL-ECS_2021.03.24_s1:0071-1375:4	3657.167	403.244	63.696	379	366	988	0.574	387	4	2.823	0.354	0.908	719.808	300.391	28.414
2232	MD08_GAL-ECS_2021.03.24_s1:0072-1363:4	723.321	385.140	22.173	377	353	492	0.788	379	4	1.722	0.581	0.947	531.479	139.261	12.598
2233	MD08_GAL-ECS_2021.03.24_s1:0073-1374:4	5969.092	344.063	38.702	336	316	1103	0.587	338	4	2.063	0.485	0.859	502.571	188.223	89.819
2234	MD08_GAL-ECS_2021.03.24_s1:0074-1396:4	16014.472	456.523	194.959	386	325	2692	0.202	395	4	2.612	0.383	0.406	500.119	194.434	6.485
2235	MD08_GAL-ECS_2021.03.24_s1:0075-1375:4	2494.445	387.390	40.857	373	347	618	0.542	373	4	3.167	0.316	0.856	539.799	161.761	24.897
2236	MD08_GAL-ECS_2021.03.24_s1:0076-1374:4	3947.848	339.070	39.139	325	303	666	0.799	330	4	1.131	0.884	0.956	529.766	177.319	110.757
2237	MD08_GAL-ECS_2021.03.24_s1:0077-1378:4	2568.805	391.068	32.424	384	366	719	0.606	384	4	2.200	0.455	0.891	699.845	276.938	24.421
2238	MD08_GAL-ECS_2021.03.24_s1:0078-1369:4	743.601	411.409	96.110	380	364	937	0.737	384	4	2.200	0.455	0.936	799.707	501.905	13.509
2239	MD08_GAL-ECS_2021.03.24_s1:0079-1371:4	1007.242	387.067	30.988	382	356	604	0.831	380	4	1.855	0.539	0.937	630.818	239.076	11.074
2240	MD08_GAL-ECS_2021.03.24_s1:0080-1372:4	1074.842	378.220	35.259	369	348	567	0.806	369	4	1.981	0.505	0.949	562.958	175.023	23.925
2241	MD08_GAL-ECS_2021.03.24_s1:0081-1374:4	1345.243	374.397	19.227	364	354	501	0.828	370	4	1.251	0.800	0.932	653.580	292.748	9.623
2242	MD08_GAL-ECS_2021.03.24_s1:0082-1397:4	5820.372	414.052	77.739	389	368	1588	0.527	401	4	3.382	0.296	0.930	771.592	363.272	66.668
2243	MD08_GAL-ECS_2021.03.24_s1:0083-1387:4	24329.289	415.345	115.625	379	356	1648	0.441	383	4	4.348	0.230	0.889	895.492	295.945	100.809
2244	MD08_GAL-ECS_2021.03.24_s1:0084-1387:4	1656.203	521.196	272.370	399	366	2383	0.184	415	4	3.981	0.251	0.403	567.050	249.215	2.739
2245	MD08_GAL-ECS_2021.03.24_s1:0085-1407:4	7267.015	415.345	37.539	407	373	866	0.413	408	4	4.380	0.228	0.895	711.611	304.002	72.433
2246	MD08_GAL-ECS_2021.03.24_s1:0086-1387:4	5124.090	363.740	34.565	352	330	633	0.497	357	4	3.802	0.263	0.889	550.891	197.367	54.997
2247	MD08_GAL-ECS_2021.03.24_s1:0087-1384:4	2115.884	356.578	21.086	345	330	499	0.724	352	4	2.035	0.492	0.906	556.703	185.900	11.575
2248	MD08_GAL-ECS_2021.03.24_s1:0088-1385:4	2900.046	377.923	12.682	370	359	448	0.793	375	4	1.756	0.569	0.961	652.265	286.474	22.179
2249	MD08_GAL-ECS_2021.03.24_s1:0089-1382:4	1007.242	387.604	36.119	365	357	598	0.883	376	4	1.538	0.650	0.949	689.897	370.756	7.866
2250	MD08_GAL-ECS_2021.03.24_s1:0090-1385:4	2758.086	373.953	35.036	365	347	804	0.860	368	4	1.194	0.837	0.959	608.122	272.212	26.895
2251	MD08_GAL-ECS_2021.03.24_s1:0091-1396:4	5624.331	365.756	66.601	349	318	854	0.591	346	4	2.158	0.463	0.802	533.164	123.295	134.827
2252	MD08_GAL-ECS_2021.03.24_s1:0092-1394:4	3048.766	367.761	17.852	362	349	618	0.798	364	4	1.621	0.617	0.959	587.601	230.094	30.228
2253	MD08_GAL-ECS_2021.03.24_s1:0093-1393:4	1973.924	392.514	25.443	387	369	593	0.724	388	4	1.974	0.507	0.936	613.401	225.017	31.856
2254	MD08_GAL-ECS_2021.03.24_s1:0094-1427:4	9423.459	444.109	134.482	415	386	2424	0.335	417	4	4.171	0.240	0.714	913.711	553.374	84.032
2255	MD08_GAL-ECS_2021.03.24_s1:0095-1398:4	3549.007	389.568	14.783	380	365	605	0.776	388	4	1.814	0.551	0.912	680.890	309.623	32.741
2256	MD08_GAL-ECS_2021.03.24_s1:0096-1409:4	12201.824	388.962	64.507	369	351	1408	0.693	373	4	1.455	0.687	0.888	689.982	256.168	147.018
2257	MD08_GAL-ECS_2021.03.24_s1:0097-1401:4	3285.367	390.805	12.160	384	370	498	0.838	389	4	1.407	0.711	0.950	650.408	245.057	48.881
2258	MD08_GAL-ECS_2021.03.24_s1:0098-1405:4	5921.772	365.903	25.010	360	340	692	0.672	362	4	1.665	0.601	0.900	506.659	168.495	83.103
2259	MD08_GAL-ECS_2021.03.24_s1:0099-1406:4	5151.130	363.343	34.034	355	329	696	0.736	356	4	1.701	0.588	0.921	546.146	172.776	113.142
2260	MD08_GAL-ECS_2021.03.24_s1:0100-1404:4	2163.204	405.678	51.908	389	377	890	0.795	394	4	1.655	0.604	0.933	810.883	651.486	45.612
2261	MD08_GAL-ECS_2021.03.24_s1:0101-1410:4	3407.047	424.109	64.287	401	384	1159	0.693	409	4	2.062	0.485	0.909	895.731	488.065	57.117
2262	MD08_GAL-ECS_2021.03.24_s1:0102-1416:4	6408.493	417.251	44.054	407	382	1007	0.734	410	4	1.938	0.516	0.942	815.728	426.383	71.707
2263	MD08_GAL-ECS_2021.03.24_s1:0103-1402:4	1602.123	403.498	55.300	379	371	784	0.789	387	4	1.655	0.604	0.917	806.955	356.622	18.308
2264	MD08_GAL-ECS_2021.03.24_s1:0104-1409:4	4975.370	414.630	63.772	385	368	955	0.765	392	4	1.320	0.757	0.912	632.672	214.262	56.810
2265	MD08_GAL-ECS_2021.03.24_s1:0105-1406:4	2406.565	390.590	21.490	376	362	492	0.856	384	4	1.381	0.724	0.947	647.874	282.113	36.570
2266	MD08_GAL-ECS_2021.03.24_s1:0106-1418:4	4786.090	435.722	83.220	401	384	1010	0.588	408	4	1.620	0.617	0.804	642.387	274.664	16.836
2267	MD08_GAL-ECS_2021.03.24_s1:0107-1418:4	3819.408	404.858	20.946	397	380	675	0.630	401	4	2.384	0.419	0.889	676.362	248.348	67.996
2268	MD08_GAL-ECS_2021.03.24_s1:0108-1411:4	2453.885	392.893	19.958	391	374	603	0.767	389	4	1.466	0.682	0.939	744.703	413.908	44.645
2269	MD08_GAL-ECS_2021.03.24_s1:0109-1412:4	1352.003	363.170	43.716	345	333	588	0.709	349	4	2.119	0.472	0.946	548.113	148.738	12.310
2270	MD08_GAL-ECS_2021.03.24_s1:0110-1411:4	858.522	384.496	34.371	367	356	692	0.635	379	4	2.770	0.361	0.914	569.337	177.254	18.157
2271	MD08_GAL-ECS_2021.03.24_s1:0111-1430:4	16420.073	475.235	184.073	410	392	2280	0.560	413	4	2.858	0.350	0.890	1085.730	413.276	57.305
2272	MD08_GAL-ECS_2021.03.24_s1:0112-1421:4	5536.451	371.780	34.132	362	343	749	0.777	364	4	1.461	0.684	0.935	599.781	173.383	160.639
2273	MD08_GAL-ECS_2021.03.24_s1:0113-1430:4	3386.767	420.501	62.961	405	389	1374	0.440	407	4	4.490	0.223	0.835	744.428	265.789	17.018
2274	MD08_GAL-ECS_2021.03.24_s1:0114-1421:4	3819.408	423.096	49.832	397	385	1130	0.743	411	4	1.486	0.673	0.878	851.900	459.932	58.145
2275	MD08_GAL-ECS_2021.03.24_s1:0115-1423:4	20651.841	433.897	90.803	403	379	1312	0.508	404	4	3.169	0.316	0.938	882.258	276.996	130.675
2276	MD08_GAL-ECS_2021.03.24_s1:0116-1422:4	4170.928	450.276	61.536	438	405	1151	0.719	438	4	1.721	0.581	0.901	869.939	341.391	11.451
2277	MD08_GAL-ECS_2021.03.24_s1:0117-1419:4	6401.733	386.893	32.617	375	359	616	0.662	378	4	2.329	0.429	0.947	547.921	151.634	76.490
2278	MD08_GAL-ECS_2021.03.24_s1:0118-1427:4	3731.527	414.672	21.470	410	394	675	0.652	410	4	2.244	0.446	0.929	799.383	473.381	80.444
2279	MD08_GAL-ECS_2021.03.24_s1:0119-1436:4	7760.496	459.377	116.641	415	398	1766	0.598	431	4	1.589	0.629	0.872	1135.387	867.818	18.114
2280	MD08_GAL-ECS_2021.03.24_s1:0120-1425:4	2203.764	397.500	59.814	378	361	891	0.784	385	4	1.696	0.590	0.946	744.123	342.375	11.383
2281	MD08_GAL-ECS_2021.03.24_s1:0121-1437:4	9200.378	421.538	74.799	391	374	972	0.719	396	4	1.532	0.653	0.903	776.118	246.419	166.663
2282	MD08_GAL-ECS_2021.03.24_s1:0122-1439:4	4833.410	425.007	38.422	415	395	861	0.594	416	4	2.684	0.373	0.893	744.904	291.001	19.632
2283	MD08_GAL-ECS_2021.03.24_s1:0123-1430:4	2332.205	428.000	31.804	413	397	775	0.806	419	4	1.802	0.555	0.960	885.746	469.887	68.812
2284	MD08_GAL-ECS_2021.03.24_s1:0124-1439:4	4448.089	446.491	79.900	416	400	1147	0.661	424	4	2.534	0.395	0.935	966.604	372.018	18.764
2285	MD08_GAL-ECS_2021.03.24_s1:0125-1432:4	2595.845	408.852	16.266	400	385	554	0.719	405	4	1.770	0.565	0.905	686.532	298.420	78.271
2286	MD08_GAL-ECS_2021.03.24_s1:0126-1436:4	6827.614	376.799	52.382	354	340	1001	0.582	363	4	2.212	0.452	0.859	708.089	288.458	135.092
2287	MD08_GAL-ECS_2021.03.24_s1:0127-1428:4	2737.805	448.269	116.788	393	375	1219	0.841	399	4	1.152	0.868	0.956	794.710	407.662	23.084
2288	MD08_GAL-ECS_2021.03.24_s1:0128-1433:4	2149.684	431.538	99.315	405	394	1541	0.664	411	4	2.259	0.443	0.868	939.477	556.373	75.384
2289	MD08_GAL-ECS_2021.03.24_s1:0129-1447:4	18529.197	472.910	137.860	419	401	1556	0.747	423	4	1.655	0.604	0.932	1113.109	406.889	105.403
2290	MD08_GAL-ECS_2021.03.24_s1:0130-1442:4	3467.887	437.082	54.904	421	406	1201	0.583	425	4	2.884	0.347	0.896	722.888	255.895	21.591
2291	MD08_GAL-ECS_2021.03.24_s1:0131-1440:4	7118.294	392.479	61.715	378	361	1251	0.752	381	4	1.556	0.643	0.918	633.186	173.870	111.257
2292	MD08_GAL-ECS_2021.03.24_s1:0132-1436:4	3494.927	453.066	131.775	401	383	1253	0.742	405	4	1.888	0.530	0.909	773.329	317.365	45.319
2293	MD08_GAL-ECS_2021.03.24_s1:0133-1444:4	2913.566	491.271	92.277	430	413	1132	0.615	478	4	2.564	0.390	0.860	1077.387	726.503	93.227
2294	MD08_GAL-ECS_2021.03.24_s1:0134-1456:4	4995.650	462.124	106.802	435	409	1653	0.463	434	4	3.825	0.261	0.813	902.682	578.747	119.828
