 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
2762	MD27_GAL_Sam89-ECS_2021.03.24_s2:0094-0651:5	5786.572	32.289	53.628	0	0	252	0.823	2	5	1.108	0.902	0.936	223.807	30.738	132.794
2763	MD27_GAL_Sam89-ECS_2021.03.24_s2:0095-0685:5	8226.936	65.038	70.353	2	0	226	0.100	38	5	2.917	0.343	0.254	119.950	101.517	4.258
2764	MD27_GAL_Sam89-ECS_2021.03.24_s2:0096-0648:5	4637.369	39.466	58.800	0	0	209	0.794	5	5	1.634	0.612	0.939	212.614	23.083	20.079
2765	MD27_GAL_Sam89-ECS_2021.03.24_s2:0097-0656:5	6259.773	39.324	63.237	0	0	252	0.817	2	5	1.255	0.797	0.937	218.664	23.760	116.012
2766	MD27_GAL_Sam89-ECS_2021.03.24_s2:0098-0665:5	10640.261	35.609	60.730	0	0	255	0.689	2	5	2.181	0.458	0.895	214.705	23.733	21.182
2767	MD27_GAL_Sam89-ECS_2021.03.24_s2:0099-0658:5	6455.813	33.659	56.795	0	0	255	0.773	2	5	1.290	0.775	0.913	212.107	24.793	22.644
2768	MD27_GAL_Sam89-ECS_2021.03.24_s2:0100-0655:5	6205.692	37.857	59.125	0	0	229	0.704	2	5	1.416	0.706	0.928	214.445	32.230	108.699
2769	MD27_GAL_Sam89-ECS_2021.03.24_s2:0101-0662:5	6665.373	37.966	61.791	0	0	255	0.743	2	5	1.702	0.588	0.902	212.966	29.614	99.504
2770	MD27_GAL_Sam89-ECS_2021.03.24_s2:0102-0661:5	6050.212	34.429	57.192	0	0	249	0.795	2	5	1.535	0.652	0.952	222.543	28.495	115.809
2771	MD27_GAL_Sam89-ECS_2021.03.24_s2:0103-0656:5	7828.096	40.295	65.177	0	0	252	0.781	2	5	1.651	0.606	0.951	209.577	22.078	57.434
2772	MD27_GAL_Sam89-ECS_2021.03.24_s2:0104-0659:5	4704.969	35.319	53.067	0	0	247	0.733	5	5	1.240	0.807	0.902	205.799	41.468	121.455
2773	MD27_GAL_Sam89-ECS_2021.03.24_s2:0105-0661:5	6814.094	39.113	59.956	0	0	249	0.778	2	5	1.128	0.886	0.937	219.679	24.043	93.135
2774	MD27_GAL_Sam89-ECS_2021.03.24_s2:0106-0662:5	5272.811	48.885	72.043	0	0	247	0.763	2	5	1.537	0.651	0.955	203.581	21.557	106.358
2775	MD27_GAL_Sam89-ECS_2021.03.24_s2:0107-0661:5	7449.535	30.937	55.699	0	0	255	0.773	2	5	1.539	0.650	0.944	214.147	28.196	20.587
2776	MD27_GAL_Sam89-ECS_2021.03.24_s2:0108-0663:5	6800.574	36.111	56.055	0	0	242	0.796	2	5	1.222	0.818	0.938	213.885	24.246	126.696
2777	MD27_GAL_Sam89-ECS_2021.03.24_s2:0109-0668:5	5563.491	43.366	65.074	0	0	226	0.780	7	5	1.445	0.692	0.934	202.310	20.855	119.785
2778	MD27_GAL_Sam89-ECS_2021.03.24_s2:0110-0673:5	8544.657	37.568	63.141	0	0	255	0.799	2	5	1.449	0.690	0.923	213.057	29.140	19.913
2779	MD27_GAL_Sam89-ECS_2021.03.24_s2:0111-0667:5	5326.891	32.631	53.481	0	0	242	0.744	2	5	1.131	0.884	0.926	213.770	35.093	127.893
2780	MD27_GAL_Sam89-ECS_2021.03.24_s2:0112-0666:5	5806.852	35.292	58.366	0	0	216	0.709	2	5	1.834	0.545	0.897	200.923	30.778	30.680
2781	MD27_GAL_Sam89-ECS_2021.03.24_s2:0113-0668:5	4738.769	42.942	67.290	0	0	226	0.745	2	5	1.133	0.883	0.928	207.915	32.745	59.173
2782	MD27_GAL_Sam89-ECS_2021.03.24_s2:0114-0670:5	5259.291	50.143	72.138	0	0	226	0.770	5	5	1.144	0.874	0.932	206.874	19.178	96.297
2783	MD27_GAL_Sam89-ECS_2021.03.24_s2:0115-0673:5	6516.653	29.796	56.376	0	0	247	0.819	0	5	1.116	0.896	0.938	217.289	32.352	21.890
2784	MD27_GAL_Sam89-ECS_2021.03.24_s2:0116-0671:5	6523.413	27.392	49.908	0	0	211	0.780	2	5	1.400	0.714	0.937	212.698	29.104	66.884
2785	MD27_GAL_Sam89-ECS_2021.03.24_s2:0117-0675:5	5009.170	30.404	57.731	0	0	247	0.738	0	5	1.737	0.576	0.918	179.086	50.223	16.310
2786	MD27_GAL_Sam89-ECS_2021.03.24_s2:0118-0672:5	5516.171	40.832	67.430	0	0	224	0.818	2	5	1.311	0.763	0.946	207.431	32.239	28.105
2787	MD27_GAL_Sam89-ECS_2021.03.24_s2:0119-0673:5	5009.170	33.116	54.875	0	0	214	0.787	2	5	1.414	0.707	0.948	206.553	35.086	42.680
2788	MD27_GAL_Sam89-ECS_2021.03.24_s2:0120-0674:5	6050.212	31.979	62.890	0	0	226	0.842	0	5	1.330	0.752	0.954	191.624	39.692	24.026
2789	MD27_GAL_Sam89-ECS_2021.03.24_s2:0121-0676:5	6509.893	24.188	51.986	0	0	221	0.832	0	5	1.183	0.846	0.950	187.148	36.612	23.188
2790	MD27_GAL_Sam89-ECS_2021.03.24_s2:0122-0678:5	5685.171	50.043	70.149	0	0	221	0.750	5	5	1.637	0.611	0.918	211.473	16.030	96.633
2791	MD27_GAL_Sam89-ECS_2021.03.24_s2:0123-0675:5	3819.408	36.198	59.421	0	0	255	0.822	2	5	1.351	0.740	0.929	206.632	40.357	146.696
2792	MD27_GAL_Sam89-ECS_2021.03.24_s2:0124-0686:5	7294.055	31.076	50.394	0	0	209	0.657	2	5	2.136	0.468	0.903	218.184	23.400	68.042
2793	MD27_GAL_Sam89-ECS_2021.03.24_s2:0125-0683:5	5130.850	38.387	57.954	0	0	255	0.831	2	5	1.029	0.972	0.925	218.666	26.003	132.527
2794	MD27_GAL_Sam89-ECS_2021.03.24_s2:0126-0687:5	6273.293	27.586	48.993	0	0	209	0.830	2	5	1.119	0.893	0.925	217.477	28.096	152.377
2795	MD27_GAL_Sam89-ECS_2021.03.24_s2:0127-0691:5	5401.251	39.791	63.475	0	0	221	0.680	2	5	2.027	0.493	0.906	206.381	27.194	42.106
2796	MD27_GAL_Sam89-ECS_2021.03.24_s2:0128-0697:5	9761.460	38.528	63.871	0	0	255	0.709	2	5	1.297	0.771	0.881	220.770	34.570	28.071
2797	MD27_GAL_Sam89-ECS_2021.03.24_s2:0129-0688:5	5935.292	24.837	45.536	0	0	221	0.841	0	5	1.193	0.838	0.933	220.602	29.726	144.192
2798	MD27_GAL_Sam89-ECS_2021.03.24_s2:0130-0687:5	5063.250	31.623	51.058	0	0	242	0.785	2	5	1.533	0.652	0.931	212.235	33.110	144.342
2799	MD27_GAL_Sam89-ECS_2021.03.24_s2:0131-0687:5	6563.973	34.827	60.037	0	0	252	0.815	2	5	1.714	0.584	0.963	211.019	19.052	77.107
2800	MD27_GAL_Sam89-ECS_2021.03.24_s2:0132-0692:5	8470.297	32.369	54.882	0	0	232	0.692	2	5	2.083	0.480	0.919	219.460	22.171	30.915
2801	MD27_GAL_Sam89-ECS_2021.03.24_s2:0133-0690:5	6158.372	29.950	51.718	0	0	249	0.758	2	5	1.562	0.640	0.930	216.349	28.221	53.349
2802	MD27_GAL_Sam89-ECS_2021.03.24_s2:0134-0697:5	5245.770	42.486	62.544	0	0	252	0.698	5	5	1.298	0.770	0.895	218.291	27.535	163.771
2803	MD27_GAL_Sam89-ECS_2021.03.24_s2:0135-0694:5	4265.569	38.010	67.899	0	0	224	0.744	2	5	1.588	0.630	0.916	194.546	26.353	40.170
2804	MD27_GAL_Sam89-ECS_2021.03.24_s2:0136-0696:5	6394.973	28.589	49.520	0	0	249	0.794	2	5	1.306	0.766	0.938	220.366	30.238	97.884
2805	MD27_GAL_Sam89-ECS_2021.03.24_s2:0137-0694:5	4265.569	53.448	68.461	0	0	216	0.613	10	5	2.388	0.419	0.856	199.207	24.483	128.802
2806	MD27_GAL_Sam89-ECS_2021.03.24_s2:0138-0703:5	5989.372	39.389	59.689	0	0	255	0.712	5	5	1.697	0.589	0.912	217.976	31.272	126.380
2807	MD27_GAL_Sam89-ECS_2021.03.24_s2:0139-0695:5	5671.651	47.197	72.992	0	0	232	0.759	2	5	1.592	0.628	0.937	208.003	18.985	64.358
2808	MD27_GAL_Sam89-ECS_2021.03.24_s2:0140-0707:5	7915.976	33.809	56.126	0	0	255	0.698	2	5	1.259	0.794	0.895	214.713	28.926	37.669
2809	MD27_GAL_Sam89-ECS_2021.03.24_s2:0141-0700:5	6476.093	31.810	53.664	0	0	255	0.823	2	5	1.086	0.921	0.956	223.409	30.064	147.718
2810	MD27_GAL_Sam89-ECS_2021.03.24_s2:0142-0701:5	5448.571	38.695	61.425	0	0	255	0.783	2	5	1.081	0.925	0.908	213.815	27.613	106.733
2811	MD27_GAL_Sam89-ECS_2021.03.24_s2:0143-0701:5	6232.732	29.286	53.401	0	0	221	0.744	2	5	1.342	0.745	0.912	209.624	37.017	72.578
2812	MD27_GAL_Sam89-ECS_2021.03.24_s2:0144-0706:5	5698.691	32.510	55.991	0	0	249	0.715	2	5	1.974	0.507	0.933	205.423	31.691	69.200
2813	MD27_GAL_Sam89-ECS_2021.03.24_s2:0145-0700:5	5090.290	40.596	60.620	0	0	255	0.656	5	5	1.372	0.729	0.864	220.864	28.186	47.282
2814	MD27_GAL_Sam89-ECS_2021.03.24_s2:0146-0702:5	6117.812	30.646	56.184	0	0	216	0.842	0	5	1.252	0.799	0.959	212.669	21.904	159.252
2815	MD27_GAL_Sam89-ECS_2021.03.24_s2:0147-0704:5	5583.771	43.340	66.133	0	0	224	0.794	2	5	1.373	0.728	0.937	206.252	17.820	115.669
2816	MD27_GAL_Sam89-ECS_2021.03.24_s2:0148-0704:5	5942.052	37.198	64.687	0	0	229	0.861	2	5	1.075	0.930	0.943	212.020	20.327	28.786
2817	MD27_GAL_Sam89-ECS_2021.03.24_s2:0149-0718:5	13040.066	42.265	68.800	0	0	255	0.651	2	5	2.054	0.487	0.871	227.087	27.255	76.912
2818	MD27_GAL_Sam89-ECS_2021.03.24_s2:0150-0707:5	4306.129	34.053	56.774	0	0	221	0.631	2	5	2.550	0.392	0.882	192.315	39.551	17.359
2819	MD27_GAL_Sam89-ECS_2021.03.24_s2:0151-0709:5	6347.653	47.930	72.839	0	0	226	0.750	2	5	1.566	0.639	0.938	204.660	19.514	18.177
2820	MD27_GAL_Sam89-ECS_2021.03.24_s2:0152-0702:5	4468.369	40.147	65.064	0	0	224	0.770	2	5	1.752	0.571	0.927	195.291	37.797	43.070
