 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	15.633	362.027	24.377	369	301	414	6689.269	2166.473	0.782	367	2.041	0.490	0.831
2	C2-multichannel	4.648	365.364	17.472	381	338	390	6671.503	2298.311	0.637	371	3.428	0.292	0.710
3	C2-multichannel	8.028	398.158	37.531	380	358	492	6580.960	2304.056	1.000	385	1.380	0.725	0.884
4	C2-multichannel	8.450	359.400	25.804	340	312	403	6695.008	2304.252	1.000	361	1.435	0.697	0.909
5	C2-multichannel	15.210	461.722	87.590	501	329	633	6399.204	2312.517	0.923	461	1.690	0.592	0.900
6	C2-multichannel	10.985	382.808	31.707	369	339	458	6396.380	2317.887	0.876	379	1.600	0.625	0.897
7	C2-multichannel	4.648	375.273	19.895	354	354	405	6706.721	2347.378	0.976	374	1.450	0.689	0.846
8	C2-multichannel	21.970	433.692	67.460	383	321	598	6637.426	2360.288	0.915	427	1.590	0.629	0.937
9	C2-multichannel	10.563	415.440	40.296	382	366	517	6513.668	2359.775	0.981	398	1.447	0.691	0.926
10	C2-multichannel	54.925	450.169	80.550	392	308	654	6575.962	2371.144	0.684	433	2.149	0.465	0.850
11	C2-multichannel	16.900	391.600	39.046	373	322	499	6436.931	2434.889	0.925	394	1.541	0.649	0.930
12	C2-multichannel	52.390	377.645	32.099	348	299	468	6692.007	2459.036	0.488	375	2.222	0.450	0.715
13	C2-multichannel	19.858	391.468	39.091	366	305	484	6525.160	2470.408	0.848	392	1.983	0.504	0.870
14	C2-multichannel	11.408	386.185	35.002	396	313	461	6401.765	2473.206	1.000	386	1.207	0.829	0.885
15	C2-multichannel	3.803	386.444	45.720	320	320	475	6706.133	2478.195	1.000	374	1.340	0.746	0.857
16	C2-multichannel	19.435	464.761	84.775	358	349	631	6512.812	2499.342	0.992	458	1.391	0.719	0.939
17	C2-multichannel	14.365	436.941	56.673	361	336	537	6617.276	2543.114	0.919	428	1.667	0.600	0.883
18	C2-multichannel	3.803	374.889	25.707	339	339	414	6526.538	2547.233	0.923	372	1.758	0.569	0.857
19	C2-multichannel	18.168	381.744	30.222	342	321	443	6855.318	2561.593	0.776	383	1.888	0.530	0.819
20	C2-multichannel	42.250	432.890	59.460	401	331	567	6453.852	2567.575	0.907	427	1.489	0.671	0.935
