 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	5.915	255.000	0.000	255	255	255	3765.033	1955.711	0.911	255	1.310	0.763	0.848
2	C3-multichannel	7.605	255.000	0.000	255	255	255	3745.915	1960.184	0.808	255	2.061	0.485	0.800
3	C3-multichannel	9.718	0.000	0.000	0	0	0	3826.933	1999.895	0.824	0	2.033	0.492	0.821
4	C3-multichannel	18.168	255.000	0.000	255	255	255	3819.530	2000.965	0.687	255	2.544	0.393	0.775
5	C3-multichannel	33.378	255.000	0.000	255	255	255	3720.334	2004.613	0.578	255	2.793	0.358	0.760
6	C3-multichannel	19.435	255.000	0.000	255	255	255	4003.309	2004.657	0.781	255	1.726	0.579	0.844
7	C3-multichannel	64.220	255.000	0.000	255	255	255	3952.066	2015.920	0.428	255	3.197	0.313	0.740
8	C3-multichannel	25.773	255.000	0.000	255	255	255	4006.980	2009.945	0.799	255	1.819	0.550	0.891
9	C3-multichannel	13.098	255.000	0.000	255	255	255	3958.365	2018.093	0.960	255	1.259	0.794	0.886
10	C3-multichannel	13.520	255.000	0.000	255	255	255	3688.081	2021.013	0.914	255	1.407	0.711	0.831
11	C3-multichannel	11.830	200.357	106.553	255	0	255	3814.408	2024.780	0.634	255	1.847	0.542	0.789
12	C3-multichannel	47.743	255.000	0.000	255	255	255	3950.187	2046.566	0.562	255	2.832	0.353	0.837
13	C3-multichannel	4.225	255.000	0.000	255	255	255	3958.826	2046.526	0.806	255	1.648	0.607	0.870
14	C3-multichannel	26.618	255.000	0.000	255	255	255	4097.163	2048.053	0.906	255	1.633	0.612	0.926
15	C3-multichannel	16.055	255.000	0.000	255	255	255	3729.205	2051.743	0.803	255	1.761	0.568	0.800
16	C3-multichannel	2.958	255.000	0.000	255	255	255	4103.591	2050.704	0.943	255	1.936	0.517	0.933
17	C3-multichannel	2.535	255.000	0.000	255	255	255	4110.276	2050.751	1.000	255	1.500	0.667	1.000
18	C3-multichannel	6.338	255.000	0.000	255	255	255	4240.493	2051.856	0.976	255	1.369	0.730	0.857
19	C3-multichannel	1.268	255.000	0.000	255	255	255	4197.593	2055.192	1.000	255	1.464	0.683	0.857
20	C3-multichannel	7.605	255.000	0.000	255	255	255	4244.610	2055.770	0.808	255	2.106	0.475	0.837
21	C3-multichannel	1.268	0.000	0.000	0	0	0	4279.276	2057.576	0.967	0	3.000	0.333	1.000
22	C3-multichannel	18.168	219.419	89.404	255	0	255	4287.463	2063.039	0.850	255	1.863	0.537	0.851
23	C3-multichannel	4.225	255.000	0.000	255	255	255	4171.376	2063.751	0.925	255	2.500	0.400	1.000
24	C3-multichannel	4.225	255.000	0.000	255	255	255	4292.407	2065.376	1.000	255	1.236	0.809	0.909
25	C3-multichannel	5.915	255.000	0.000	255	255	255	3917.180	2069.508	0.811	255	1.993	0.502	0.800
26	C3-multichannel	15.210	255.000	0.000	255	255	255	4159.189	2068.933	0.792	255	2.342	0.427	0.947
27	C3-multichannel	7.605	255.000	0.000	255	255	255	3795.640	2073.681	1.000	255	1.094	0.914	0.857
28	C3-multichannel	4.648	255.000	0.000	255	255	255	3800.108	2076.662	0.976	255	1.714	0.583	0.846
29	C3-multichannel	16.900	255.000	0.000	255	255	255	3901.106	2078.506	1.000	255	1.160	0.862	0.930
30	C3-multichannel	9.295	255.000	0.000	255	255	255	3611.017	2082.630	0.988	255	1.219	0.820	0.863
31	C3-multichannel	12.675	255.000	0.000	255	255	255	4175.883	2086.436	0.877	255	1.607	0.622	0.896
32	C3-multichannel	61.263	255.000	0.000	255	255	255	4029.999	2091.358	0.763	255	1.306	0.766	0.892
33	C3-multichannel	58.305	255.000	0.000	255	255	255	4172.125	2094.258	0.686	255	1.288	0.777	0.829
34	C3-multichannel	37.180	255.000	0.000	255	255	255	4058.033	2094.906	0.651	255	2.397	0.417	0.850
35	C3-multichannel	7.605	255.000	0.000	255	255	255	4335.754	2099.176	0.687	255	2.345	0.426	0.766
36	C3-multichannel	51.545	252.910	23.087	255	0	255	4044.825	2102.055	0.892	255	1.421	0.704	0.910
37	C3-multichannel	9.295	115.909	129.960	0	0	255	4053.076	2099.501	0.788	0	2.326	0.430	0.830
38	C3-multichannel	21.548	255.000	0.000	255	255	255	3851.423	2103.331	0.897	255	1.555	0.643	0.927
39	C3-multichannel	26.195	255.000	0.000	255	255	255	4081.949	2105.162	0.913	255	1.153	0.867	0.899
40	C3-multichannel	1.268	255.000	0.000	255	255	255	4345.793	2109.359	1.000	255	1.464	0.683	0.857
41	C3-multichannel	7.605	0.000	0.000	0	0	0	4997.852	2110.876	1.000	0	1.362	0.734	0.947
42	C3-multichannel	2.958	255.000	0.000	255	255	255	3738.198	2114.311	0.898	255	1.668	0.600	0.778
43	C3-multichannel	16.478	255.000	0.000	255	255	255	4354.510	2116.626	0.534	255	3.386	0.295	0.709
44	C3-multichannel	16.900	255.000	0.000	255	255	255	4991.725	2117.993	1.000	255	1.149	0.870	0.920
45	C3-multichannel	19.013	255.000	0.000	255	255	255	3843.054	2121.767	0.866	255	1.356	0.737	0.857
46	C3-multichannel	4.648	255.000	0.000	255	255	255	3741.963	2121.748	0.976	255	1.269	0.788	0.815
47	C3-multichannel	5.070	255.000	0.000	255	255	255	3943.931	2123.442	0.851	255	2.240	0.446	0.774
48	C3-multichannel	29.153	255.000	0.000	255	255	255	4210.791	2125.816	0.738	255	1.899	0.526	0.841
49	C3-multichannel	22.393	255.000	0.000	255	255	255	3845.800	2126.316	0.762	255	1.662	0.602	0.841
50	C3-multichannel	21.125	255.000	0.000	255	255	255	4009.370	2130.220	0.780	255	1.690	0.592	0.862
51	C3-multichannel	46.898	255.000	0.000	255	255	255	4225.596	2136.718	0.644	255	2.695	0.371	0.851
52	C3-multichannel	9.295	255.000	0.000	255	255	255	4412.142	2137.939	0.788	255	2.075	0.482	0.846
53	C3-multichannel	8.873	0.000	0.000	0	0	0	5085.153	2138.857	0.971	0	1.334	0.750	0.913
54	C3-multichannel	24.505	255.000	0.000	255	255	255	4236.253	2141.784	0.608	255	3.030	0.330	0.823
55	C3-multichannel	16.900	255.000	0.000	255	255	255	3627.473	2142.449	0.953	255	1.051	0.951	0.879
56	C3-multichannel	8.028	26.842	80.402	0	0	255	4775.552	2143.701	0.681	0	2.447	0.409	0.809
57	C3-multichannel	3.803	255.000	0.000	255	255	255	3728.076	2149.009	0.521	255	3.645	0.274	0.621
58	C3-multichannel	13.098	255.000	0.000	255	255	255	5064.938	2149.582	1.000	255	1.196	0.836	0.939
59	C3-multichannel	1.690	255.000	0.000	255	255	255	4768.889	2152.313	0.857	255	2.000	0.500	0.800
60	C3-multichannel	16.900	255.000	0.000	255	255	255	4757.774	2155.433	0.709	255	2.105	0.475	0.777
61	C3-multichannel	246.318	237.067	65.258	255	0	255	3807.038	2161.980	0.700	255	1.512	0.661	0.885
62	C3-multichannel	6.760	255.000	0.000	255	255	255	4190.348	2154.304	1.000	255	1.314	0.761	0.914
63	C3-multichannel	27.463	117.692	128.112	0	0	255	3766.946	2156.462	0.920	0	1.452	0.689	0.897
64	C3-multichannel	84.923	211.866	95.835	255	0	255	4766.531	2159.957	0.519	255	1.242	0.805	0.779
65	C3-multichannel	5.070	0.000	0.000	0	0	0	3895.397	2157.838	1.000	0	1.281	0.780	0.857
66	C3-multichannel	5.493	39.231	95.761	0	0	255	4863.302	2161.576	1.000	0	1.450	0.690	0.897
67	C3-multichannel	65.488	235.258	68.371	255	0	255	3863.508	2170.053	0.542	255	3.084	0.324	0.809
68	C3-multichannel	33.378	225.949	81.536	255	0	255	3889.063	2169.496	0.869	255	1.397	0.716	0.883
69	C3-multichannel	5.070	0.000	0.000	0	0	0	3976.918	2171.380	1.000	0	1.579	0.633	0.889
70	C3-multichannel	44.363	138.429	127.640	255	0	255	3979.946	2176.435	0.833	255	1.643	0.609	0.897
71	C3-multichannel	6.338	255.000	0.000	255	255	255	3602.670	2174.966	1.000	255	1.295	0.772	0.857
72	C3-multichannel	174.070	123.786	127.601	0	0	255	3971.433	2181.992	0.539	0	1.414	0.707	0.785
73	C3-multichannel	2.535	255.000	0.000	255	255	255	3694.818	2193.967	1.000	255	1.291	0.775	0.800
74	C3-multichannel	3.380	223.125	90.156	255	0	255	4118.726	2197.326	1.000	255	1.229	0.814	0.941
75	C3-multichannel	17.323	0.000	0.000	0	0	0	5056.407	2207.536	0.826	0	1.405	0.712	0.837
76	C3-multichannel	2.958	0.000	0.000	0	0	0	4542.805	2207.540	0.943	0	1.936	0.517	0.933
77	C3-multichannel	2.958	255.000	0.000	255	255	255	3581.826	2215.340	1.000	255	1.069	0.936	0.875
78	C3-multichannel	9.718	0.000	0.000	0	0	0	4191.187	2232.624	0.938	0	1.555	0.643	0.836
79	C3-multichannel	84.078	0.000	0.000	0	0	0	4185.337	2236.525	0.495	0	2.223	0.450	0.748
80	C3-multichannel	2.113	51.000	114.039	0	0	255	4008.876	2233.076	1.000	0	1.553	0.644	0.909
81	C3-multichannel	21.125	96.900	125.030	0	0	255	3804.332	2240.499	0.754	0	2.091	0.478	0.813
82	C3-multichannel	5.915	0.000	0.000	0	0	0	3797.905	2239.111	0.750	0	1.929	0.518	0.757
83	C3-multichannel	106.048	4.064	31.997	0	0	255	4179.501	2249.651	0.597	0	2.052	0.487	0.816
84	C3-multichannel	4.648	115.909	133.169	0	0	255	3792.946	2240.486	0.976	0	1.035	0.966	0.846
85	C3-multichannel	28.308	239.776	60.874	255	0	255	4706.657	2241.928	0.786	255	1.751	0.571	0.924
86	C3-multichannel	5.493	215.769	95.761	255	0	255	5043.972	2244.008	1.000	255	1.148	0.871	0.897
87	C3-multichannel	8.028	241.579	58.501	255	0	255	4630.746	2245.029	0.944	255	1.396	0.717	0.905
88	C3-multichannel	2.535	255.000	0.000	255	255	255	4605.902	2247.701	0.916	255	2.082	0.480	0.857
89	C3-multichannel	4.648	255.000	0.000	255	255	255	5027.368	2248.439	1.000	255	1.372	0.729	0.957
90	C3-multichannel	38.025	218.167	90.145	255	0	255	4939.018	2254.011	0.726	255	2.049	0.488	0.837
91	C3-multichannel	31.265	192.973	110.152	255	0	255	4321.747	2254.955	0.597	255	2.429	0.412	0.775
92	C3-multichannel	1.268	255.000	0.000	255	255	255	3765.993	2254.742	1.000	255	1.464	0.683	0.857
93	C3-multichannel	3.380	255.000	0.000	255	255	255	3762.526	2256.801	0.820	255	2.392	0.418	0.889
94	C3-multichannel	11.830	236.786	66.878	255	0	255	3488.701	2258.851	1.000	255	1.199	0.834	0.966
95	C3-multichannel	4.648	255.000	0.000	255	255	255	4522.022	2258.544	0.809	255	1.781	0.562	0.846
96	C3-multichannel	4.648	255.000	0.000	255	255	255	4526.277	2260.612	0.853	255	1.660	0.603	0.759
97	C3-multichannel	16.900	6.375	40.319	0	0	255	4818.777	2263.626	0.589	0	3.018	0.331	0.784
98	C3-multichannel	2.535	0.000	0.000	0	0	0	4331.602	2262.759	0.916	0	1.809	0.553	0.857
99	C3-multichannel	7.183	0.000	0.000	0	0	0	4337.165	2263.052	0.609	0	2.745	0.364	0.773
100	C3-multichannel	8.873	255.000	0.000	255	255	255	3837.307	2264.833	0.581	255	2.610	0.383	0.808
101	C3-multichannel	40.560	0.000	0.000	0	0	0	4349.416	2270.065	0.520	0	3.528	0.283	0.768
102	C3-multichannel	5.070	255.000	0.000	255	255	255	3844.968	2268.826	0.539	255	3.203	0.312	0.686
103	C3-multichannel	32.533	248.377	40.826	255	0	255	4467.144	2272.379	0.556	255	2.062	0.485	0.778
104	C3-multichannel	35.913	225.000	82.646	255	0	255	4912.576	2273.419	0.818	255	1.720	0.582	0.934
105	C3-multichannel	5.070	255.000	0.000	255	255	255	3575.976	2277.601	1.000	255	1.333	0.750	1.000
106	C3-multichannel	23.238	250.364	34.384	255	0	255	5039.392	2292.960	0.858	255	1.315	0.761	0.866
107	C3-multichannel	2.113	51.000	114.039	0	0	255	4301.377	2298.726	1.000	0	1.553	0.644	0.909
108	C3-multichannel	9.295	162.273	125.553	255	0	255	4628.187	2301.976	0.840	255	1.810	0.552	0.830
109	C3-multichannel	28.308	133.209	128.333	255	0	255	4920.715	2306.563	0.898	255	1.246	0.802	0.882
110	C3-multichannel	15.210	255.000	0.000	255	255	255	3435.793	2313.549	0.761	255	2.032	0.492	0.857
111	C3-multichannel	2.535	255.000	0.000	255	255	255	4239.843	2313.892	0.916	255	1.593	0.628	0.857
112	C3-multichannel	3.803	255.000	0.000	255	255	255	3427.343	2314.904	1.000	255	1.340	0.746	0.857
113	C3-multichannel	19.013	255.000	0.000	255	255	255	3871.047	2326.864	0.732	255	1.851	0.540	0.826
114	C3-multichannel	27.040	139.453	127.942	255	0	255	3399.473	2328.477	0.825	255	1.385	0.722	0.853
115	C3-multichannel	5.915	255.000	0.000	255	255	255	3874.744	2333.965	0.993	255	1.264	0.791	0.848
116	C3-multichannel	1.690	255.000	0.000	255	255	255	3717.351	2336.751	1.000	255	1.000	1.000	1.000
117	C3-multichannel	10.985	147.115	128.477	255	0	255	4325.643	2339.199	0.854	255	1.073	0.932	0.825
118	C3-multichannel	7.183	165.000	125.611	255	0	255	4994.809	2339.499	1.000	255	1.263	0.792	0.919
119	C3-multichannel	4.225	255.000	0.000	255	255	255	3856.776	2340.001	1.000	255	1.551	0.645	0.909
120	C3-multichannel	8.028	255.000	0.000	255	255	255	3855.818	2345.423	0.944	255	1.422	0.703	0.884
121	C3-multichannel	18.168	237.209	65.731	255	0	255	4918.438	2348.630	0.994	255	1.361	0.735	0.956
122	C3-multichannel	22.815	240.833	58.959	255	0	255	4667.926	2352.383	0.857	255	1.904	0.525	0.931
123	C3-multichannel	42.673	148.960	126.308	255	0	255	4720.010	2354.604	0.751	255	1.362	0.734	0.842
124	C3-multichannel	16.055	221.447	87.355	255	0	255	3500.911	2353.326	0.861	255	1.604	0.624	0.884
125	C3-multichannel	22.815	198.333	107.009	255	0	255	4455.318	2356.638	0.950	255	1.282	0.780	0.939
126	C3-multichannel	14.365	247.500	43.732	255	0	255	3616.552	2357.206	1.000	255	1.275	0.784	0.919
127	C3-multichannel	7.605	184.167	117.527	255	0	255	4858.677	2357.826	0.606	255	2.865	0.349	0.818
128	C3-multichannel	19.858	10.851	52.028	0	0	255	4881.177	2367.951	0.764	0	1.695	0.590	0.862
129	C3-multichannel	8.028	255.000	0.000	255	255	255	3812.303	2366.257	1.000	255	1.273	0.785	0.974
130	C3-multichannel	8.450	255.000	0.000	255	255	255	3979.821	2369.056	0.553	255	3.059	0.327	0.769
131	C3-multichannel	2.958	255.000	0.000	255	255	255	3830.776	2372.176	1.000	255	1.596	0.626	0.875
132	C3-multichannel	63.375	255.000	0.000	255	255	255	4861.824	2376.240	0.961	255	1.085	0.922	0.926
133	C3-multichannel	2.958	0.000	0.000	0	0	0	4366.841	2374.776	1.000	0	1.069	0.936	0.875
134	C3-multichannel	5.070	255.000	0.000	255	255	255	3445.218	2386.693	0.695	255	2.252	0.444	0.727
135	C3-multichannel	4.225	0.000	0.000	0	0	0	4102.476	2395.706	1.000	0	1.236	0.809	0.909
136	C3-multichannel	8.873	255.000	0.000	255	255	255	3569.321	2398.857	0.943	255	1.093	0.915	0.857
137	C3-multichannel	2.535	255.000	0.000	255	255	255	3995.551	2398.176	1.000	255	1.500	0.667	1.000
138	C3-multichannel	5.070	106.250	131.307	0	0	255	4310.997	2401.686	1.000	0	1.281	0.780	0.857
139	C3-multichannel	7.183	255.000	0.000	255	255	255	3481.459	2403.949	1.000	255	1.263	0.792	0.919
140	C3-multichannel	8.028	0.000	0.000	0	0	0	5055.069	2403.547	0.944	0	1.699	0.589	0.884
141	C3-multichannel	9.718	255.000	0.000	255	255	255	3528.159	2408.689	0.824	255	1.856	0.539	0.868
142	C3-multichannel	10.140	255.000	0.000	255	255	255	3954.033	2408.440	0.860	255	1.526	0.655	0.842
143	C3-multichannel	3.803	255.000	0.000	255	255	255	3941.132	2409.515	0.923	255	2.386	0.419	0.947
144	C3-multichannel	10.985	255.000	0.000	255	255	255	3932.901	2414.751	1.000	255	1.215	0.823	0.929
145	C3-multichannel	25.773	188.115	113.101	255	0	255	3502.151	2421.605	0.775	255	2.078	0.481	0.853
146	C3-multichannel	12.253	255.000	0.000	255	255	255	3859.869	2421.710	0.977	255	1.399	0.715	0.921
147	C3-multichannel	624.033	160.389	123.227	255	0	255	4594.028	2430.898	0.539	255	3.298	0.303	0.892
148	C3-multichannel	229.418	201.464	103.949	255	0	255	4629.818	2428.205	0.419	255	3.281	0.305	0.843
149	C3-multichannel	1.268	0.000	0.000	0	0	0	4831.127	2423.093	0.754	0	2.702	0.370	0.667
150	C3-multichannel	1.268	0.000	0.000	0	0	0	3646.176	2424.826	0.809	0	3.000	0.333	1.000
151	C3-multichannel	2.535	0.000	0.000	0	0	0	4847.918	2424.609	0.809	0	2.237	0.447	0.857
152	C3-multichannel	7.605	0.000	0.000	0	0	0	4836.363	2425.584	0.706	0	2.901	0.345	0.878
153	C3-multichannel	23.238	27.818	80.230	0	0	255	4706.868	2431.218	0.721	0	1.931	0.518	0.833
154	C3-multichannel	21.125	255.000	0.000	255	255	255	3743.364	2434.498	0.919	255	1.211	0.826	0.901
155	C3-multichannel	592.768	195.203	108.078	255	0	255	4551.616	2446.685	0.582	255	2.889	0.346	0.900
156	C3-multichannel	7.183	240.000	61.847	255	0	255	3672.704	2440.020	1.000	255	1.389	0.720	0.944
157	C3-multichannel	2.535	212.500	104.103	255	0	255	4704.507	2441.596	0.686	255	2.810	0.356	0.750
158	C3-multichannel	19.013	113.333	128.142	0	0	255	4706.782	2446.341	0.812	0	1.526	0.655	0.857
159	C3-multichannel	5.915	0.000	0.000	0	0	0	4467.544	2447.065	0.993	0	1.264	0.791	0.848
160	C3-multichannel	10.985	255.000	0.000	255	255	255	3781.551	2447.576	0.932	255	1.597	0.626	0.881
161	C3-multichannel	303.778	191.516	110.341	255	0	255	4516.100	2453.522	0.602	255	2.732	0.366	0.927
162	C3-multichannel	237.868	194.307	108.692	255	0	255	4489.452	2456.073	0.659	255	1.813	0.552	0.872
163	C3-multichannel	7.605	0.000	0.000	0	0	0	4453.549	2450.212	1.000	0	1.257	0.795	0.857
164	C3-multichannel	613.893	210.774	96.582	255	0	255	4444.049	2461.708	0.427	255	3.866	0.259	0.857
165	C3-multichannel	96.753	194.869	108.485	255	0	255	4474.410	2459.075	0.783	255	1.232	0.812	0.927
166	C3-multichannel	5.493	0.000	0.000	0	0	0	4869.527	2456.776	0.922	0	1.306	0.766	0.839
167	C3-multichannel	331.240	242.315	55.477	255	0	255	4404.214	2470.065	0.622	255	1.591	0.629	0.875
168	C3-multichannel	1.268	255.000	0.000	255	255	255	4906.093	2460.793	1.000	255	1.464	0.683	0.857
169	C3-multichannel	181.675	232.465	72.462	255	0	255	4386.445	2473.533	0.626	255	1.407	0.711	0.817
170	C3-multichannel	15.633	255.000	0.000	255	255	255	3397.455	2475.262	1.000	255	1.429	0.700	0.892
171	C3-multichannel	8.028	255.000	0.000	255	255	255	3603.789	2478.947	0.853	255	1.896	0.527	0.844
172	C3-multichannel	18.168	41.512	95.254	0	0	255	4730.841	2494.840	0.623	0	3.299	0.303	0.782
173	C3-multichannel	5.915	255.000	0.000	255	255	255	3819.819	2495.722	1.000	255	1.662	0.602	0.966
174	C3-multichannel	16.055	120.789	129.032	0	0	255	4136.276	2511.998	0.953	0	1.572	0.636	0.874
175	C3-multichannel	57.038	0.000	0.000	0	0	0	4219.645	2514.588	0.671	0	2.524	0.396	0.826
176	C3-multichannel	3.380	0.000	0.000	0	0	0	3470.757	2515.420	0.820	0	1.767	0.566	0.842
177	C3-multichannel	9.295	0.000	0.000	0	0	0	3477.442	2516.594	0.768	0	1.629	0.614	0.772
178	C3-multichannel	22.815	221.944	86.458	255	0	255	4771.078	2517.071	0.933	255	1.180	0.847	0.900
179	C3-multichannel	38.025	178.500	117.510	255	0	255	4661.136	2523.430	0.685	255	1.994	0.502	0.861
180	C3-multichannel	10.140	233.750	71.994	255	0	255	3330.808	2524.365	1.000	255	1.222	0.818	0.906
181	C3-multichannel	5.070	255.000	0.000	255	255	255	3874.976	2532.401	1.000	255	1.333	0.750	1.000
182	C3-multichannel	22.393	178.019	118.185	255	0	255	4151.666	2541.633	0.827	255	1.642	0.609	0.862
183	C3-multichannel	25.773	255.000	0.000	255	255	255	4032.788	2543.946	0.598	255	2.138	0.468	0.859
184	C3-multichannel	13.098	131.613	129.540	255	0	255	4653.677	2541.988	0.642	255	1.417	0.706	0.713
185	C3-multichannel	2.958	0.000	0.000	0	0	0	4649.405	2544.612	0.943	0	1.936	0.517	0.933
186	C3-multichannel	4.648	255.000	0.000	255	255	255	4484.854	2547.144	0.887	255	1.619	0.618	0.846
187	C3-multichannel	6.760	0.000	0.000	0	0	0	4646.405	2547.920	1.000	0	1.568	0.638	0.914
188	C3-multichannel	18.590	255.000	0.000	255	255	255	3207.795	2550.660	0.747	255	2.375	0.421	0.838
189	C3-multichannel	9.295	127.500	130.500	0	0	255	3986.304	2549.862	0.922	255	1.738	0.576	0.898
190	C3-multichannel	19.435	227.283	80.248	255	0	255	4250.661	2554.081	0.972	255	1.315	0.760	0.885
191	C3-multichannel	16.055	134.211	129.032	255	0	255	4351.004	2559.928	0.699	255	2.015	0.496	0.809
192	C3-multichannel	2.113	0.000	0.000	0	0	0	3666.586	2562.756	1.000	0	1.553	0.644	0.909
193	C3-multichannel	13.520	103.594	127.243	0	0	255	4355.177	2562.976	0.885	0	1.792	0.558	0.914
194	C3-multichannel	5.070	0.000	0.000	0	0	0	3726.993	2574.868	0.781	0	2.186	0.457	0.828
195	C3-multichannel	3.380	0.000	0.000	0	0	0	3722.308	2576.195	1.000	0	1.229	0.814	0.941
196	C3-multichannel	14.365	255.000	0.000	255	255	255	4645.915	2577.499	0.919	255	1.646	0.607	0.872
197	C3-multichannel	19.013	255.000	0.000	255	255	255	3079.246	2578.703	0.850	255	1.406	0.711	0.849
198	C3-multichannel	1.268	0.000	0.000	0	0	0	4655.410	2577.359	1.000	0	1.464	0.683	0.857
199	C3-multichannel	9.295	255.000	0.000	255	255	255	3072.551	2582.303	0.524	255	2.852	0.351	0.746
200	C3-multichannel	18.168	77.093	118.499	0	0	255	4741.527	2582.576	0.699	0	1.630	0.614	0.782
201	C3-multichannel	7.605	255.000	0.000	255	255	255	4311.488	2584.545	0.591	255	2.808	0.356	0.692
202	C3-multichannel	5.070	255.000	0.000	255	255	255	4401.097	2584.076	0.851	255	1.699	0.588	0.800
203	C3-multichannel	19.013	255.000	0.000	255	255	255	3067.171	2587.615	0.702	255	2.216	0.451	0.826
204	C3-multichannel	10.985	0.000	0.000	0	0	0	3733.976	2589.301	0.876	0	1.709	0.585	0.881
205	C3-multichannel	10.140	255.000	0.000	255	255	255	3060.147	2589.872	0.916	255	1.356	0.738	0.857
206	C3-multichannel	3.803	255.000	0.000	255	255	255	3906.321	2592.020	0.726	255	2.094	0.477	0.750
207	C3-multichannel	11.830	245.893	48.190	255	0	255	3056.361	2593.537	0.757	255	1.367	0.732	0.767
208	C3-multichannel	5.915	236.786	68.152	255	0	255	3995.876	2593.176	1.000	255	1.662	0.602	0.966
209	C3-multichannel	14.788	116.571	128.885	0	0	255	4443.402	2595.776	0.897	0	1.586	0.630	0.864
210	C3-multichannel	18.590	255.000	0.000	255	255	255	3057.069	2599.558	0.774	255	2.004	0.499	0.863
211	C3-multichannel	17.323	43.537	97.142	0	0	255	4725.177	2599.026	0.976	0	1.345	0.743	0.891
212	C3-multichannel	93.373	88.846	121.775	0	0	255	3955.087	2603.947	0.713	0	1.912	0.523	0.837
213	C3-multichannel	20.280	5.312	36.806	0	0	255	4603.627	2604.226	0.829	0	1.914	0.522	0.881
214	C3-multichannel	6.338	255.000	0.000	255	255	255	3297.559	2602.969	0.898	255	1.869	0.535	0.909
215	C3-multichannel	12.253	255.000	0.000	255	255	255	3232.261	2606.691	0.977	255	1.462	0.684	0.935
216	C3-multichannel	10.563	255.000	0.000	255	255	255	3274.740	2606.410	0.954	255	1.199	0.834	0.847
217	C3-multichannel	27.463	243.231	53.920	255	0	255	4198.708	2614.049	0.601	255	1.551	0.645	0.769
218	C3-multichannel	12.253	202.241	105.124	255	0	255	4023.487	2615.982	0.829	255	2.370	0.422	0.853
219	C3-multichannel	5.493	255.000	0.000	255	255	255	3380.076	2621.526	1.000	255	1.159	0.863	0.897
220	C3-multichannel	43.940	203.510	102.862	255	0	255	3385.777	2624.368	0.865	255	1.195	0.837	0.878
221	C3-multichannel	23.238	64.909	112.103	0	0	255	3172.744	2625.212	0.950	0	1.074	0.931	0.909
222	C3-multichannel	24.083	219.211	89.362	255	0	255	3049.940	2625.503	0.820	255	1.334	0.749	0.891
223	C3-multichannel	38.870	255.000	0.000	255	255	255	3272.151	2627.131	0.862	255	1.302	0.768	0.880
224	C3-multichannel	72.248	138.684	127.382	255	0	255	3393.801	2631.477	0.667	255	1.761	0.568	0.840
225	C3-multichannel	2.113	255.000	0.000	255	255	255	4120.806	2628.666	1.000	255	1.553	0.644	0.909
226	C3-multichannel	2.113	0.000	0.000	0	0	0	3400.606	2632.176	0.873	0	1.496	0.668	0.714
227	C3-multichannel	23.660	255.000	0.000	255	255	255	3208.262	2634.579	1.000	255	1.243	0.805	0.911
228	C3-multichannel	10.563	0.000	0.000	0	0	0	3405.520	2634.620	0.756	0	2.050	0.488	0.714
229	C3-multichannel	31.688	244.800	50.306	255	0	255	3864.603	2637.475	0.660	255	2.227	0.449	0.798
230	C3-multichannel	13.520	0.000	0.000	0	0	0	3411.709	2637.356	0.936	0	1.525	0.656	0.901
231	C3-multichannel	51.968	178.293	117.424	255	0	255	4578.624	2640.535	0.874	255	1.206	0.829	0.918
