 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C3-multichannel	5.070	255.000	0.000	255	255	255	1940.467	1062.371	1.000	255	1.579	0.633	0.889
2	C3-multichannel	1.268	255.000	0.000	255	255	255	1942.742	1065.242	1.000	255	1.464	0.683	0.857
3	C3-multichannel	5.915	255.000	0.000	255	255	255	1943.454	1070.225	0.750	255	1.474	0.678	0.778
4	C3-multichannel	1.268	255.000	0.000	255	255	255	1903.092	1099.909	1.000	255	1.464	0.683	0.857
5	C3-multichannel	4.648	255.000	0.000	255	255	255	2208.199	1134.398	0.976	255	1.603	0.624	0.880
6	C3-multichannel	28.308	255.000	0.000	255	255	255	2279.255	1144.044	0.564	255	1.776	0.563	0.740
7	C3-multichannel	26.195	255.000	0.000	255	255	255	2285.548	1147.250	0.555	255	2.598	0.385	0.805
8	C3-multichannel	10.140	255.000	0.000	255	255	255	1979.278	1148.334	1.000	255	1.345	0.743	0.906
9	C3-multichannel	43.095	195.000	108.701	255	0	255	1985.976	1151.559	0.566	255	2.736	0.365	0.843
10	C3-multichannel	7.183	255.000	0.000	255	255	255	2290.849	1151.858	1.000	255	1.263	0.792	0.919
11	C3-multichannel	24.083	246.053	47.337	255	0	255	2001.179	1161.580	0.551	255	2.984	0.335	0.814
12	C3-multichannel	11.408	255.000	0.000	255	255	255	1812.694	1164.187	0.692	255	2.091	0.478	0.806
13	C3-multichannel	8.450	114.750	130.157	0	0	255	2154.715	1164.909	0.529	0	3.473	0.288	0.702
14	C3-multichannel	73.938	13.114	56.484	0	0	255	1874.059	1164.620	0.378	0	4.411	0.227	0.742
15	C3-multichannel	43.518	64.369	111.315	0	0	255	1886.551	1168.600	0.633	0	2.911	0.344	0.880
16	C3-multichannel	21.548	210.000	98.178	255	0	255	2009.955	1168.236	0.921	255	1.284	0.779	0.879
17	C3-multichannel	47.743	255.000	0.000	255	255	255	1825.111	1170.774	0.794	255	1.646	0.608	0.883
18	C3-multichannel	43.518	203.010	103.238	255	0	255	2015.770	1173.163	0.857	255	1.730	0.578	0.892
19	C3-multichannel	16.478	255.000	0.000	255	255	255	1952.526	1172.809	0.978	255	1.040	0.961	0.867
20	C3-multichannel	32.110	251.645	29.251	255	0	255	1961.636	1182.788	0.437	255	4.223	0.237	0.727
21	C3-multichannel	5.070	63.750	115.328	0	0	255	1736.909	1191.559	1.000	0	1.281	0.780	0.857
22	C3-multichannel	8.028	228.158	80.402	255	0	255	1880.967	1219.420	0.916	255	1.926	0.519	0.844
23	C3-multichannel	8.028	0.000	0.000	0	0	0	1713.760	1221.299	0.853	0	1.786	0.560	0.844
24	C3-multichannel	2.535	0.000	0.000	0	0	0	1708.526	1221.350	1.000	0	1.500	0.667	1.000
25	C3-multichannel	12.253	61.552	111.051	0	0	255	1886.347	1225.854	0.848	0	1.894	0.528	0.866
26	C3-multichannel	12.675	255.000	0.000	255	255	255	2009.649	1231.815	0.986	255	1.648	0.607	0.882
27	C3-multichannel	19.013	204.000	103.153	255	0	255	1893.631	1233.014	0.907	255	1.783	0.561	0.891
28	C3-multichannel	46.053	247.982	41.911	255	0	255	2017.122	1238.864	0.557	255	3.492	0.286	0.858
29	C3-multichannel	74.360	136.193	127.566	255	0	255	2106.955	1247.330	0.543	255	2.429	0.412	0.842
30	C3-multichannel	5.915	255.000	0.000	255	255	255	1754.351	1242.150	1.000	255	1.319	0.758	0.933
31	C3-multichannel	26.618	194.286	109.481	255	0	255	1908.712	1252.076	0.370	255	4.000	0.250	0.646
32	C3-multichannel	11.408	255.000	0.000	255	255	255	2175.154	1251.070	0.289	255	6.260	0.160	0.593
33	C3-multichannel	1.690	63.750	127.500	0	0	255	2270.776	1248.325	1.000	0	1.000	1.000	1.000
34	C3-multichannel	2.958	72.857	124.427	0	0	255	2161.901	1248.975	0.718	0	2.731	0.366	0.824
35	C3-multichannel	6.760	159.375	127.500	255	0	255	2281.306	1254.500	0.927	255	1.214	0.824	0.800
36	C3-multichannel	95.908	203.326	102.729	255	0	255	1925.356	1266.576	0.399	255	3.148	0.318	0.716
37	C3-multichannel	36.758	140.690	127.551	255	0	255	2122.711	1263.059	0.545	255	3.824	0.261	0.813
38	C3-multichannel	1.268	255.000	0.000	255	255	255	2033.959	1260.892	1.000	255	1.464	0.683	0.857
39	C3-multichannel	4.648	0.000	0.000	0	0	0	1574.685	1264.812	1.000	0	1.372	0.729	0.957
40	C3-multichannel	93.373	255.000	0.000	255	255	255	1938.435	1275.731	0.608	255	2.649	0.377	0.870
41	C3-multichannel	118.300	154.821	124.761	255	0	255	1892.101	1283.980	0.558	255	1.537	0.651	0.780
