 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	3.380	386.875	50.093	300	300	443	4028.276	529.542	1.000	412	1.229	0.814	0.941
2	C2-multichannel	1.268	369.333	49.561	330	330	425	3860.220	538.775	1.000	353	1.464	0.683	0.857
3	C2-multichannel	3.803	416.111	77.749	360	336	592	3829.410	578.364	1.000	391	1.340	0.746	0.857
4	C2-multichannel	3.803	367.444	40.688	328	328	457	3835.544	582.533	0.884	358	1.915	0.522	0.783
5	C2-multichannel	10.563	397.280	45.658	378	315	471	4165.099	600.118	0.714	399	1.853	0.540	0.781
6	C2-multichannel	11.408	425.556	97.335	302	302	654	4166.946	605.259	1.000	399	1.046	0.956	0.885
7	C2-multichannel	3.803	442.556	98.327	377	348	594	4168.880	609.155	1.000	378	1.340	0.746	0.857
8	C2-multichannel	12.253	361.621	30.640	331	312	427	4021.651	672.732	0.584	352	1.647	0.607	0.734
9	C2-multichannel	14.788	411.086	71.346	335	301	605	4085.254	695.686	0.705	402	2.128	0.470	0.805
10	C2-multichannel	2.535	352.667	33.898	320	320	411	4328.782	710.688	1.000	349	1.291	0.775	0.800
11	C2-multichannel	16.900	405.575	56.315	341	313	526	4255.621	720.319	0.887	403	1.989	0.503	0.870
12	C2-multichannel	43.940	406.721	135.175	322	224	1005	4001.696	726.201	0.839	372	1.100	0.909	0.885
13	C2-multichannel	21.970	427.808	75.640	487	291	591	4485.291	728.443	0.939	425	1.382	0.724	0.897
14	C2-multichannel	4.225	382.000	41.020	316	316	443	3881.172	744.431	1.000	397	1.327	0.753	0.909
15	C2-multichannel	11.830	474.000	110.696	295	295	685	4152.344	753.348	1.000	474	1.145	0.873	0.889
16	C2-multichannel	5.493	388.846	39.072	385	329	489	4524.635	753.422	0.697	395	2.440	0.410	0.788
17	C2-multichannel	9.295	393.045	61.053	370	266	499	3758.718	759.960	0.788	406	2.032	0.492	0.830
18	C2-multichannel	2.535	383.500	29.440	350	350	432	3876.167	763.315	1.000	383	1.291	0.775	0.800
19	C2-multichannel	8.028	416.684	91.621	304	304	559	3979.542	765.300	1.000	379	1.161	0.861	0.884
20	C2-multichannel	9.295	362.864	32.307	293	293	416	4483.249	774.921	0.609	362	3.311	0.302	0.800
21	C2-multichannel	5.915	376.000	37.838	334	321	457	4411.211	777.324	1.000	375	1.604	0.623	0.848
22	C2-multichannel	5.070	376.750	39.743	294	294	448	4060.247	779.373	1.000	377	1.333	0.750	1.000
23	C2-multichannel	2.535	349.667	28.444	304	304	380	4122.608	783.898	1.000	368	1.500	0.667	1.000
24	C2-multichannel	5.070	360.000	43.668	275	275	426	3815.014	785.907	1.000	362	1.281	0.780	0.857
25	C2-multichannel	13.520	385.125	50.787	364	318	511	4275.368	805.840	0.865	373	1.483	0.674	0.853
26	C2-multichannel	19.435	374.826	42.901	322	298	468	4353.193	805.436	0.572	370	2.947	0.339	0.730
27	C2-multichannel	9.295	377.500	35.352	325	325	456	4329.664	809.428	0.922	377	1.764	0.567	0.880
28	C2-multichannel	2.113	354.200	21.649	324	324	380	4486.885	815.953	1.000	357	1.553	0.644	0.909
29	C2-multichannel	20.280	513.021	130.609	274	274	758	4159.662	824.942	0.941	505	1.424	0.702	0.941
30	C2-multichannel	19.858	389.191	50.152	404	292	536	4207.624	830.227	0.778	389	1.901	0.526	0.895
31	C2-multichannel	18.590	434.455	81.615	360	324	671	4557.784	830.037	0.887	417	1.553	0.644	0.880
32	C2-multichannel	40.560	405.677	63.075	354	285	598	3812.930	831.884	0.584	400	2.936	0.341	0.787
33	C2-multichannel	6.338	441.000	44.633	376	376	528	4225.288	837.119	0.898	435	1.869	0.535	0.909
34	C2-multichannel	5.493	364.231	37.334	296	296	427	4451.276	837.599	0.601	369	2.691	0.372	0.788
35	C2-multichannel	10.563	428.400	71.605	325	325	565	4493.386	839.749	0.896	401	1.339	0.747	0.893
36	C2-multichannel	11.830	409.000	71.766	332	285	594	4303.929	841.927	1.000	413	1.371	0.730	0.918
37	C2-multichannel	8.450	370.400	33.920	424	287	424	4650.800	843.627	0.513	372	3.382	0.296	0.714
38	C2-multichannel	12.675	432.867	95.078	355	320	717	4848.607	846.089	0.593	415	3.194	0.313	0.789
39	C2-multichannel	25.350	516.500	174.877	503	261	1011	4205.340	850.207	0.883	503	1.483	0.674	0.882
40	C2-multichannel	31.265	495.973	139.382	352	290	965	4169.764	850.717	0.954	481	1.386	0.721	0.908
41	C2-multichannel	7.605	387.944	67.433	305	305	540	4853.000	852.704	0.571	370	2.813	0.356	0.766
42	C2-multichannel	26.195	495.258	139.152	305	305	836	4406.643	854.407	0.800	459	2.079	0.481	0.892
43	C2-multichannel	18.168	422.233	101.742	315	279	646	4280.878	855.748	0.867	398	1.430	0.699	0.878
44	C2-multichannel	15.633	413.541	57.916	400	331	537	4748.995	868.560	0.680	400	2.485	0.402	0.881
45	C2-multichannel	42.250	396.250	52.862	333	287	504	4119.151	870.975	0.673	397	2.846	0.351	0.901
46	C2-multichannel	25.350	376.583	57.692	374	270	546	4142.164	871.992	0.470	372	2.650	0.377	0.702
47	C2-multichannel	124.638	601.207	276.474	327	254	1671	4240.712	876.429	0.834	496	1.187	0.843	0.885
48	C2-multichannel	8.450	376.350	32.035	346	329	434	4129.038	872.796	0.898	372	1.881	0.531	0.851
49	C2-multichannel	7.183	395.412	28.083	346	346	440	4431.831	873.731	1.000	397	1.389	0.720	0.944
50	C2-multichannel	8.028	379.474	39.638	318	318	464	3882.368	879.122	1.000	386	1.244	0.804	0.884
51	C2-multichannel	158.860	591.141	261.956	351	253	1448	4062.558	900.721	0.406	515	2.875	0.348	0.729
52	C2-multichannel	13.520	454.469	95.294	371	255	661	4433.015	895.528	0.936	453	1.697	0.589	0.914
53	C2-multichannel	14.788	393.971	61.418	297	297	533	3949.884	904.128	1.000	402	1.169	0.856	0.921
54	C2-multichannel	9.295	390.682	40.594	334	321	456	4512.883	905.246	0.922	402	1.620	0.617	0.898
55	C2-multichannel	10.563	399.200	58.909	298	298	529	5082.262	905.212	0.821	386	2.151	0.465	0.847
56	C2-multichannel	9.295	400.727	51.397	385	302	488	5048.689	905.756	1.000	396	1.276	0.784	0.863
57	C2-multichannel	5.915	403.857	58.532	372	336	497	4159.027	906.297	1.000	422	1.662	0.602	0.966
58	C2-multichannel	88.725	463.595	157.143	300	237	1094	4061.576	927.809	0.305	430	3.619	0.276	0.646
59	C2-multichannel	6.760	412.688	67.724	299	299	532	4286.598	919.074	1.000	413	1.234	0.810	0.889
60	C2-multichannel	15.633	445.919	103.502	353	270	698	4236.203	922.016	0.948	436	1.316	0.760	0.902
61	C2-multichannel	18.168	459.488	100.868	449	300	633	4373.756	927.295	0.974	449	1.419	0.705	0.905
62	C2-multichannel	16.478	432.744	94.247	467	287	629	3968.903	928.080	1.000	430	1.430	0.699	0.918
63	C2-multichannel	51.545	470.746	147.717	666	256	913	4052.554	936.666	0.427	432	3.121	0.320	0.767
64	C2-multichannel	3.380	424.125	55.049	336	336	492	5114.693	930.541	1.000	438	1.939	0.516	0.842
65	C2-multichannel	35.490	512.095	184.726	299	268	1041	3867.526	939.170	0.880	460	1.375	0.727	0.884
66	C2-multichannel	30.843	407.411	66.025	329	313	596	4468.864	940.677	0.849	395	1.471	0.680	0.874
67	C2-multichannel	22.815	470.815	147.493	504	257	773	4066.620	942.602	0.540	480	2.109	0.474	0.735
68	C2-multichannel	22.393	390.396	75.130	343	291	623	4064.157	952.289	0.552	369	2.704	0.370	0.809
69	C2-multichannel	13.098	437.645	86.853	487	311	607	4114.479	950.053	1.000	431	1.116	0.896	0.886
70	C2-multichannel	77.318	418.404	97.429	355	264	837	4058.128	963.789	0.297	391	4.416	0.226	0.691
71	C2-multichannel	1.268	351.000	1.732	352	349	352	4163.359	952.791	1.000	352	1.464	0.683	0.857
72	C2-multichannel	19.013	434.756	77.041	428	283	601	4213.908	956.460	1.000	440	1.148	0.871	0.918
73	C2-multichannel	10.140	373.375	42.822	372	301	464	4066.751	959.507	0.597	362	3.281	0.305	0.889
74	C2-multichannel	21.548	403.784	50.405	327	303	531	4452.694	962.989	0.881	411	1.630	0.613	0.887
75	C2-multichannel	24.928	388.864	62.978	301	284	583	4820.469	962.053	0.460	374	4.028	0.248	0.887
76	C2-multichannel	3.803	433.778	51.448	344	344	498	4832.574	961.977	0.832	443	2.386	0.419	0.947
77	C2-multichannel	12.675	420.600	69.552	380	310	609	4331.794	965.474	0.811	417	1.955	0.511	0.833
78	C2-multichannel	17.323	445.512	118.039	481	275	719	4403.795	965.464	0.976	410	1.083	0.923	0.882
79	C2-multichannel	10.140	390.292	38.110	333	333	467	4926.519	967.294	0.838	389	2.140	0.467	0.842
80	C2-multichannel	7.183	396.471	49.307	319	319	487	4054.521	976.484	0.713	389	2.431	0.411	0.791
81	C2-multichannel	4.225	388.600	43.342	373	322	457	3889.127	977.909	1.000	373	1.236	0.809	0.909
82	C2-multichannel	7.605	374.556	60.813	299	299	496	4057.740	979.073	0.895	379	1.752	0.571	0.857
83	C2-multichannel	51.545	396.500	60.978	364	291	570	4060.193	986.037	0.301	389	2.797	0.357	0.591
84	C2-multichannel	27.040	429.766	73.739	411	310	729	4430.526	983.873	0.871	428	1.784	0.560	0.908
85	C2-multichannel	8.873	353.524	24.722	358	311	425	4064.293	989.270	0.522	353	3.344	0.299	0.824
86	C2-multichannel	27.885	484.909	159.400	329	245	991	4350.029	997.643	1.000	465	1.047	0.956	0.923
87	C2-multichannel	5.493	386.923	45.127	337	337	463	4323.229	996.118	1.000	383	1.551	0.645	0.929
88	C2-multichannel	1.268	394.333	22.030	373	373	417	4059.347	997.641	1.000	393	1.464	0.683	0.857
89	C2-multichannel	8.450	452.700	97.023	527	307	688	4239.257	998.374	0.994	433	1.773	0.564	0.909
90	C2-multichannel	8.028	425.842	81.765	321	321	581	3851.008	1005.098	0.853	410	1.648	0.607	0.844
91	C2-multichannel	2.958	425.571	42.292	363	363	481	4151.883	1006.993	1.000	427	1.069	0.936	0.875
92	C2-multichannel	9.295	364.273	46.524	365	273	451	4625.421	1007.501	1.000	365	1.542	0.649	0.957
