 	Label	Area	Mean	StdDev	Mode	Min	Max	XM	YM	Circ.	Median	AR	Round	Solidity
1	C2-multichannel	15.210	299.444	37.839	276	246	391	4962.979	1163.422	1.000	292	1.186	0.843	0.935
2	C2-multichannel	17.323	267.390	21.807	269	230	327	4708.343	1194.823	0.928	269	1.547	0.647	0.882
3	C2-multichannel	19.858	282.936	30.371	262	224	360	4882.651	1198.149	0.947	281	1.164	0.859	0.870
4	C2-multichannel	57.883	301.745	49.523	269	226	442	4668.514	1202.064	0.878	287	1.245	0.803	0.898
5	C2-multichannel	28.730	263.838	19.815	259	223	315	5014.449	1215.453	0.713	264	1.182	0.846	0.819
6	C2-multichannel	10.563	256.040	18.211	264	222	285	4929.561	1216.756	0.774	251	2.013	0.497	0.806
7	C2-multichannel	34.645	286.927	35.076	269	234	382	4650.137	1231.230	0.744	288	1.474	0.678	0.882
8	C2-multichannel	2.113	257.200	4.382	254	254	262	4914.712	1237.143	1.000	254	1.553	0.644	0.909
9	C2-multichannel	13.098	269.194	27.138	216	216	320	4728.033	1251.146	0.960	272	1.140	0.877	0.873
10	C2-multichannel	22.393	279.434	31.681	275	216	358	4724.747	1255.525	0.939	276	1.125	0.889	0.862
11	C2-multichannel	42.673	329.436	71.589	265	212	486	4820.430	1256.393	0.851	320	1.077	0.929	0.890
12	C2-multichannel	44.785	273.274	26.009	265	219	371	4618.001	1265.751	0.821	270	1.213	0.825	0.865
13	C2-multichannel	21.970	274.635	27.702	256	210	334	5223.450	1266.499	0.846	277	1.909	0.524	0.897
14	C2-multichannel	12.253	264.828	17.542	269	230	300	4901.307	1269.162	0.977	267	1.371	0.729	0.906
15	C2-multichannel	7.605	265.833	26.627	278	224	326	5055.242	1268.904	0.808	274	1.922	0.520	0.857
16	C2-multichannel	5.493	259.692	17.844	256	219	287	4811.545	1276.621	0.922	256	1.911	0.523	0.839
17	C2-multichannel	40.983	279.330	26.686	259	232	367	4809.886	1291.631	0.764	276	1.655	0.604	0.858
18	C2-multichannel	10.985	260.962	17.248	235	235	297	5300.618	1305.929	0.932	260	1.510	0.662	0.867
19	C2-multichannel	44.363	269.467	20.959	275	221	335	4941.120	1311.140	0.655	269	1.680	0.595	0.830
20	C2-multichannel	47.743	271.044	28.173	249	211	348	4686.115	1317.254	0.350	267	5.603	0.178	0.756
21	C2-multichannel	32.533	320.714	57.528	244	220	438	5103.064	1318.614	0.957	311	1.315	0.760	0.922
22	C2-multichannel	26.618	265.190	23.124	246	226	317	5175.518	1320.213	0.858	264	1.567	0.638	0.863
23	C2-multichannel	15.633	319.135	49.091	273	247	430	5044.813	1330.093	1.000	307	1.157	0.864	0.949
24	C2-multichannel	22.815	336.370	70.823	282	208	497	5026.499	1333.754	0.894	340	1.340	0.746	0.908
25	C2-multichannel	33.378	290.899	38.787	268	211	389	5186.402	1339.066	0.900	291	1.569	0.637	0.908
26	C2-multichannel	30.843	292.000	39.859	261	219	406	4604.197	1341.763	0.978	292	1.134	0.882	0.901
27	C2-multichannel	23.238	300.509	39.891	251	218	374	5114.309	1341.593	0.910	310	1.518	0.659	0.917
28	C2-multichannel	31.688	310.227	53.065	284	227	430	4560.166	1348.503	0.932	292	1.431	0.699	0.932
29	C2-multichannel	35.068	289.976	37.731	264	223	397	4820.902	1350.613	0.841	283	1.478	0.677	0.888
30	C2-multichannel	63.375	305.387	50.049	268	213	416	4914.221	1350.927	0.800	297	1.860	0.538	0.904
31	C2-multichannel	5.915	271.286	16.406	253	240	300	4559.097	1354.741	1.000	274	1.125	0.889	0.933
32	C2-multichannel	10.140	264.000	17.498	248	237	313	4559.969	1358.870	0.916	262	1.837	0.544	0.873
33	C2-multichannel	13.520	276.438	25.669	261	225	351	4747.145	1367.889	0.936	279	1.546	0.647	0.901
34	C2-multichannel	64.220	282.204	25.588	286	222	333	5265.673	1375.307	0.699	284	2.338	0.428	0.879
35	C2-multichannel	119.990	325.687	72.973	254	207	568	4940.773	1378.281	0.544	311	2.346	0.426	0.818
36	C2-multichannel	47.743	286.611	33.731	259	212	359	5311.478	1384.134	0.803	282	1.995	0.501	0.897
37	C2-multichannel	76.050	320.967	86.785	261	203	597	4935.120	1388.479	0.708	289	1.824	0.548	0.847
38	C2-multichannel	91.260	375.718	125.012	304	214	717	5004.547	1388.037	0.842	350	1.759	0.569	0.923
39	C2-multichannel	35.913	291.388	31.906	254	227	365	4709.281	1387.326	0.891	292	1.223	0.818	0.899
40	C2-multichannel	7.183	255.765	19.687	245	219	289	4672.092	1387.405	0.845	248	1.727	0.579	0.829
41	C2-multichannel	76.050	354.917	85.844	295	185	555	5225.504	1390.831	0.854	349	1.407	0.711	0.923
42	C2-multichannel	112.385	335.338	63.756	258	217	498	4997.224	1398.410	0.574	334	2.388	0.419	0.786
43	C2-multichannel	144.073	306.070	51.186	264	224	452	4942.893	1397.886	0.442	295	2.793	0.358	0.779
44	C2-multichannel	3.803	259.667	19.144	249	229	294	5185.150	1396.449	1.000	262	1.340	0.746	0.857
45	C2-multichannel	148.298	343.536	68.102	341	216	569	5170.948	1407.787	0.516	341	3.254	0.307	0.858
46	C2-multichannel	15.633	288.892	32.775	293	220	348	4628.642	1403.189	1.000	293	1.132	0.883	0.902
47	C2-multichannel	48.588	287.878	34.905	286	214	409	4983.318	1407.350	0.644	286	2.590	0.386	0.839
48	C2-multichannel	47.743	330.283	67.620	271	221	494	5027.755	1416.362	0.896	323	1.548	0.646	0.926
49	C2-multichannel	101.823	347.349	85.361	271	206	591	5156.459	1419.696	0.631	332	2.215	0.451	0.852
50	C2-multichannel	24.083	297.088	47.485	272	222	426	4821.282	1417.358	0.985	287	1.163	0.860	0.919
51	C2-multichannel	27.463	308.385	48.880	275	216	413	5102.275	1421.001	0.885	299	1.679	0.596	0.903
52	C2-multichannel	21.548	268.294	22.371	250	230	328	4913.932	1429.123	0.658	263	2.443	0.409	0.823
53	C2-multichannel	192.238	318.138	53.512	297	211	477	5084.233	1432.197	0.358	314	5.758	0.174	0.854
54	C2-multichannel	13.943	261.182	19.075	254	229	311	5062.287	1431.310	0.546	256	2.933	0.341	0.795
55	C2-multichannel	7.605	251.222	16.491	265	218	275	5213.696	1432.210	1.000	257	1.137	0.879	0.878
56	C2-multichannel	48.165	307.535	61.024	270	217	483	5049.677	1435.375	0.411	288	3.534	0.283	0.755
57	C2-multichannel	33.800	274.538	27.317	274	226	345	4954.821	1435.928	0.911	274	1.268	0.789	0.920
58	C2-multichannel	133.933	389.186	114.986	371	227	694	5107.703	1442.989	0.842	370	1.166	0.858	0.914
59	C2-multichannel	5.493	252.000	15.864	245	227	278	5040.487	1440.926	0.817	247	1.382	0.724	0.788
60	C2-multichannel	2.958	253.000	14.989	240	240	274	4952.296	1444.811	0.943	245	1.936	0.517	0.933
61	C2-multichannel	15.210	284.083	24.514	271	250	348	4719.076	1447.282	0.974	278	1.210	0.827	0.889
62	C2-multichannel	4.225	275.100	20.047	256	250	315	4451.461	1449.254	0.806	279	1.577	0.634	0.800
63	C2-multichannel	98.443	326.253	53.106	342	210	434	4455.378	1455.752	0.793	326	1.324	0.755	0.884
64	C2-multichannel	137.735	281.555	30.265	271	224	393	4494.040	1456.883	0.342	275	5.773	0.173	0.790
65	C2-multichannel	201.533	322.239	61.059	275	212	512	4466.962	1464.066	0.537	310	1.480	0.676	0.740
66	C2-multichannel	13.520	280.250	25.215	259	231	330	5108.538	1463.288	0.778	278	2.200	0.455	0.865
67	C2-multichannel	18.590	263.682	18.683	267	223	303	4626.286	1467.896	0.949	264	1.238	0.808	0.898
68	C2-multichannel	36.335	325.663	70.531	251	218	513	5015.594	1472.540	0.843	314	1.459	0.686	0.910
69	C2-multichannel	8.028	264.421	21.988	253	225	302	5251.109	1470.803	0.916	263	1.200	0.833	0.809
70	C2-multichannel	6.760	258.125	12.596	259	238	278	5213.206	1473.918	0.795	259	2.362	0.423	0.865
71	C2-multichannel	16.055	261.079	17.826	251	223	300	5324.687	1479.717	0.953	262	1.290	0.775	0.854
72	C2-multichannel	2.113	257.600	26.235	238	238	302	5012.614	1481.137	0.873	255	2.308	0.433	0.769
73	C2-multichannel	25.773	308.557	55.070	280	236	462	5103.072	1493.030	0.913	291	1.368	0.731	0.904
74	C2-multichannel	17.323	261.171	16.114	270	214	292	4700.664	1495.042	0.843	260	1.353	0.739	0.891
75	C2-multichannel	107.738	314.235	56.487	260	210	473	4935.763	1506.219	0.675	301	2.639	0.379	0.885
76	C2-multichannel	39.715	322.777	64.000	248	221	469	4640.817	1503.611	0.806	324	1.904	0.525	0.883
77	C2-multichannel	9.295	264.727	20.218	242	231	323	5235.493	1505.031	0.840	265	1.975	0.506	0.863
78	C2-multichannel	28.730	282.338	38.730	269	223	377	4988.944	1510.750	0.566	271	2.415	0.414	0.751
79	C2-multichannel	16.478	285.538	35.641	290	224	369	4860.642	1515.418	0.929	287	1.273	0.785	0.867
80	C2-multichannel	8.873	259.857	19.001	262	223	302	4742.627	1518.649	0.614	262	2.894	0.346	0.792
81	C2-multichannel	43.518	298.505	45.523	254	229	418	4626.081	1524.034	0.857	292	1.496	0.668	0.877
82	C2-multichannel	7.183	262.882	20.347	226	226	296	4904.229	1543.357	0.845	265	1.449	0.690	0.850
83	C2-multichannel	33.800	279.587	29.892	316	217	358	4982.605	1546.309	0.911	278	1.033	0.968	0.899
84	C2-multichannel	21.548	294.235	38.818	287	222	370	5197.140	1548.402	0.921	288	1.630	0.613	0.895
85	C2-multichannel	13.098	262.516	18.419	263	235	305	5097.279	1548.371	0.795	263	1.932	0.518	0.838
86	C2-multichannel	25.350	299.317	40.644	283	232	380	5086.709	1553.606	0.993	293	1.267	0.789	0.938
87	C2-multichannel	19.858	278.191	25.561	260	229	342	4719.082	1554.363	0.887	276	1.793	0.558	0.879
88	C2-multichannel	14.788	273.829	20.703	260	234	319	4979.779	1562.898	0.793	273	2.078	0.481	0.854
89	C2-multichannel	7.605	271.167	18.209	268	230	298	4708.516	1566.624	0.895	276	1.502	0.666	0.857
90	C2-multichannel	14.365	265.118	19.199	249	225	307	5568.615	1578.237	0.919	267	1.438	0.695	0.850
91	C2-multichannel	26.618	274.413	21.860	280	229	323	5691.751	1582.176	0.928	276	1.320	0.758	0.887
92	C2-multichannel	22.393	257.717	17.532	247	221	300	5039.340	1583.234	0.669	257	2.640	0.379	0.876
93	C2-multichannel	16.900	260.875	15.472	250	225	291	5030.644	1585.936	0.613	261	3.036	0.329	0.800
94	C2-multichannel	6.760	272.875	15.235	260	254	312	4683.169	1593.991	1.000	273	1.568	0.638	0.914
95	C2-multichannel	9.295	261.409	19.813	241	220	295	5001.550	1599.476	0.897	266	1.273	0.786	0.800
96	C2-multichannel	7.605	260.222	17.542	247	240	297	5012.300	1600.915	0.734	255	1.485	0.673	0.837
97	C2-multichannel	24.083	268.316	26.050	275	208	328	5006.140	1602.607	0.683	275	2.367	0.422	0.844
98	C2-multichannel	53.235	301.024	42.061	254	225	428	5159.505	1610.568	0.807	297	1.715	0.583	0.878
99	C2-multichannel	14.365	267.824	23.411	229	229	313	5470.052	1611.299	0.919	272	1.318	0.759	0.872
100	C2-multichannel	8.028	262.053	28.642	238	201	327	5196.942	1612.559	1.000	262	1.083	0.923	0.884
101	C2-multichannel	58.305	292.362	44.403	304	207	406	5176.729	1615.262	0.830	288	1.737	0.576	0.914
102	C2-multichannel	11.408	258.630	15.544	253	238	303	5201.851	1614.472	0.790	253	1.611	0.621	0.857
103	C2-multichannel	4.225	257.000	16.766	238	238	296	5182.787	1618.959	1.000	255	1.236	0.809	0.909
104	C2-multichannel	8.873	264.667	16.686	247	235	293	5086.297	1625.703	0.971	265	1.643	0.609	0.933
105	C2-multichannel	16.055	266.026	19.933	268	202	296	4949.654	1634.508	0.699	268	2.087	0.479	0.809
106	C2-multichannel	19.013	297.489	45.349	254	223	462	5140.120	1637.050	1.000	293	1.197	0.835	0.918
107	C2-multichannel	17.323	274.146	25.737	250	216	328	4730.215	1637.284	0.928	271	1.586	0.630	0.891
108	C2-multichannel	51.968	267.488	23.487	294	209	323	4602.695	1644.535	0.480	267	2.899	0.345	0.750
109	C2-multichannel	27.040	304.094	45.829	269	232	410	5535.408	1640.183	0.974	297	1.154	0.866	0.948
110	C2-multichannel	2.113	245.000	0.000	245	245	245	5732.157	1640.016	1.000	245	1.553	0.644	0.909
111	C2-multichannel	35.913	305.459	47.988	273	227	423	5502.552	1647.297	0.922	307	1.162	0.861	0.904
112	C2-multichannel	18.168	263.023	17.006	266	227	327	4821.266	1647.715	0.927	266	1.611	0.621	0.915
113	C2-multichannel	3.803	256.000	26.158	263	217	302	5595.556	1658.483	0.799	257	2.326	0.430	0.818
114	C2-multichannel	9.295	260.091	10.703	245	245	280	5403.836	1664.997	0.840	263	1.963	0.509	0.800
115	C2-multichannel	24.928	290.102	29.503	291	236	362	4813.034	1681.546	0.745	291	2.370	0.422	0.901
116	C2-multichannel	48.588	274.374	27.700	298	222	354	5702.659	1685.647	0.529	273	3.487	0.287	0.852
117	C2-multichannel	5.070	269.500	27.982	237	237	326	4887.099	1684.197	0.883	264	1.610	0.621	0.889
118	C2-multichannel	2.535	266.167	18.411	240	240	289	4962.096	1683.813	1.000	269	1.500	0.667	1.000
