 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD21_GAL_Sam14-ECS_2021.03.24_s2:0001-0325:1	1865.764	186.645	15.636	183	169	292	0.855	183	1	1.240	0.806	0.940	246.900	167.883	15.308
2	MD21_GAL_Sam14-ECS_2021.03.24_s2:0002-0332:1	3968.128	176.189	24.586	171	150	578	0.728	173	1	1.819	0.550	0.918	255.652	199.962	21.697
3	MD21_GAL_Sam14-ECS_2021.03.24_s2:0003-0335:1	3440.847	202.499	67.097	193	175	1031	0.673	191	1	1.842	0.543	0.883	244.948	138.723	24.250
4	MD21_GAL_Sam14-ECS_2021.03.24_s2:0004-0338:1	3075.806	197.198	75.528	182	171	936	0.759	183	1	1.731	0.578	0.912	221.411	138.767	21.343
5	MD21_GAL_Sam14-ECS_2021.03.24_s2:0005-0341:1	4197.968	205.346	49.754	196	184	796	0.742	198	1	1.655	0.604	0.939	288.103	173.036	19.831
6	MD21_GAL_Sam14-ECS_2021.03.24_s2:0006-0347:1	2305.165	190.845	87.486	178	165	1124	0.876	178	1	1.448	0.691	0.954	231.421	158.231	34.850
7	MD21_GAL_Sam14-ECS_2021.03.24_s2:0007-0364:1	4062.768	213.637	46.373	215	176	793	0.681	208	1	2.084	0.480	0.876	303.392	215.948	17.957
8	MD21_GAL_Sam14-ECS_2021.03.24_s2:0008-0362:1	4360.209	204.450	60.287	195	183	1044	0.603	196	1	2.021	0.495	0.851	295.183	194.555	29.960
9	MD21_GAL_Sam14-ECS_2021.03.24_s2:0009-0362:1	3271.847	209.533	98.761	183	171	1213	0.772	188	1	1.560	0.641	0.923	307.291	260.846	52.304
10	MD21_GAL_Sam14-ECS_2021.03.24_s2:0010-0363:1	3988.408	183.383	89.012	174	164	1993	0.813	176	1	1.289	0.776	0.925	260.824	204.982	45.432
11	MD21_GAL_Sam14-ECS_2021.03.24_s2:0011-0362:1	2852.726	201.372	41.956	192	179	684	0.652	195	1	2.607	0.384	0.889	236.558	119.631	44.135
12	MD21_GAL_Sam14-ECS_2021.03.24_s2:0012-0373:1	1899.564	214.292	17.348	207	196	321	0.694	210	1	1.967	0.508	0.901	309.881	178.197	39.238
13	MD21_GAL_Sam14-ECS_2021.03.24_s2:0013-0379:1	3826.168	181.500	7.131	180	169	226	0.836	180	1	1.652	0.605	0.932	230.467	115.360	45.062
14	MD21_GAL_Sam14-ECS_2021.03.24_s2:0014-0384:1	5015.930	195.737	24.825	196	168	541	0.872	195	1	1.256	0.796	0.947	325.113	224.113	16.602
15	MD21_GAL_Sam14-ECS_2021.03.24_s2:0015-0380:1	3075.806	204.380	46.097	196	181	697	0.876	196	1	1.076	0.930	0.937	238.716	126.646	37.771
16	MD21_GAL_Sam14-ECS_2021.03.24_s2:0016-0384:1	3123.126	175.569	11.619	167	159	276	0.815	173	1	1.512	0.661	0.947	240.383	137.549	61.052
17	MD21_GAL_Sam14-ECS_2021.03.24_s2:0017-0385:1	3156.926	182.533	41.461	174	164	782	0.874	178	1	1.146	0.872	0.950	204.506	83.292	41.546
18	MD21_GAL_Sam14-ECS_2021.03.24_s2:0018-0393:1	5746.011	199.311	83.024	179	164	1275	0.737	183	1	2.116	0.473	0.962	291.659	223.913	23.069
19	MD21_GAL_Sam14-ECS_2021.03.24_s2:0019-0398:1	5948.812	191.564	39.431	177	157	721	0.787	186	1	1.530	0.653	0.939	294.105	211.550	14.917
20	MD21_GAL_Sam14-ECS_2021.03.24_s2:0020-0401:1	4955.090	174.704	45.288	170	153	787	0.703	168	1	2.066	0.484	0.936	205.884	107.901	58.795
21	MD21_GAL_Sam14-ECS_2021.03.24_s2:0021-0410:1	3873.488	190.009	41.351	184	169	694	0.756	183	1	1.494	0.669	0.915	270.886	146.588	20.330
22	MD21_GAL_Sam14-ECS_2021.03.24_s2:0022-0406:1	3812.648	176.819	36.670	170	158	750	0.828	171	1	1.244	0.804	0.941	224.456	147.141	13.995
23	MD21_GAL_Sam14-ECS_2021.03.24_s2:0023-0407:1	2663.445	180.241	26.792	177	162	582	0.818	177	1	1.359	0.736	0.949	220.911	132.439	32.962
24	MD21_GAL_Sam14-ECS_2021.03.24_s2:0024-0417:1	4366.969	170.788	17.112	167	157	438	0.720	167	1	2.074	0.482	0.940	258.165	143.149	30.972
