 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD08_SEM-ECS_2021.03.24_s2:0001-0479:1	10234.660	162.565	38.044	151	128	674	0.820	155	1	1.180	0.847	0.930	281.198	196.742	23.184
2	MD08_SEM-ECS_2021.03.24_s2:0002-0477:1	1466.923	144.336	47.294	129	124	416	0.895	131	1	1.154	0.867	0.956	170.005	77.322	7.673
3	MD08_SEM-ECS_2021.03.24_s2:0003-0496:1	8842.098	166.631	40.924	161	129	724	0.644	161	1	2.011	0.497	0.868	304.934	180.907	33.567
4	MD08_SEM-ECS_2021.03.24_s2:0004-0511:1	17542.235	158.087	31.849	155	128	532	0.581	154	1	2.617	0.382	0.865	230.581	142.344	21.874
5	MD08_SEM-ECS_2021.03.24_s2:0005-0492:1	3217.766	161.506	47.305	126	124	587	0.420	151	1	2.636	0.379	0.703	165.639	68.090	4.595
6	MD08_SEM-ECS_2021.03.24_s2:0006-0518:1	11424.423	168.066	45.437	157	130	716	0.600	162	1	2.430	0.411	0.908	254.621	179.819	26.967
7	MD08_SEM-ECS_2021.03.24_s2:0007-0545:1	12539.825	169.075	43.645	168	128	794	0.543	163	1	2.973	0.336	0.860	267.034	188.501	55.931
8	MD08_SEM-ECS_2021.03.24_s2:0008-0560:1	11728.623	154.682	30.228	136	129	702	0.582	150	1	1.884	0.531	0.850	238.184	167.692	23.254
9	MD08_SEM-ECS_2021.03.24_s2:0009-0566:1	9430.219	165.110	45.753	168	129	870	0.640	161	1	2.169	0.461	0.907	270.853	184.486	68.841
10	MD08_SEM-ECS_2021.03.24_s2:0010-0571:1	5103.810	183.246	67.958	172	131	955	0.680	172	1	1.455	0.687	0.870	225.321	130.790	42.205
11	MD08_SEM-ECS_2021.03.24_s2:0011-0582:1	5617.571	164.485	37.985	170	131	733	0.710	162	1	1.337	0.748	0.871	255.505	186.333	15.621
12	MD08_SEM-ECS_2021.03.24_s2:0012-0598:1	10701.101	162.002	39.001	167	129	966	0.711	160	1	1.810	0.553	0.915	219.428	155.057	27.047
13	MD08_SEM-ECS_2021.03.24_s2:0013-0588:1	4995.650	169.767	26.741	178	132	516	0.697	172	1	1.756	0.569	0.868	256.948	165.369	67.179
14	MD08_SEM-ECS_2021.03.24_s2:0014-0602:1	9693.859	161.757	19.834	163	132	513	0.753	163	1	1.660	0.602	0.933	257.645	194.212	73.579
15	MD08_SEM-ECS_2021.03.24_s2:0015-0611:1	6435.533	182.149	78.220	187	131	1170	0.658	175	1	2.546	0.393	0.890	251.025	158.092	51.342
16	MD08_SEM-ECS_2021.03.24_s2:0016-0615:1	8145.816	167.363	57.044	169	129	1004	0.521	162	1	2.027	0.493	0.820	243.175	179.214	22.760
17	MD08_SEM-ECS_2021.03.24_s2:0017-0613:1	4765.810	186.146	31.328	193	135	572	0.734	185	1	1.885	0.530	0.902	282.833	191.262	86.983
18	MD08_SEM-ECS_2021.03.24_s2:0018-0620:1	4772.570	183.256	69.112	183	132	1021	0.743	173	1	1.370	0.730	0.938	336.156	291.982	16.248
19	MD08_SEM-ECS_2021.03.24_s2:0019-0634:1	7787.536	174.604	51.301	179	128	837	0.624	173	1	1.920	0.521	0.825	262.714	194.307	83.391
20	MD08_SEM-ECS_2021.03.24_s2:0020-0641:1	6719.453	177.145	110.605	134	127	1623	0.706	162	1	2.099	0.476	0.898	287.629	276.219	28.714
21	MD08_SEM-ECS_2021.03.24_s2:0021-0644:1	5164.650	197.352	99.722	185	135	1434	0.775	185	1	1.479	0.676	0.912	314.460	274.953	88.234
22	MD08_SEM-ECS_2021.03.24_s2:0022-0645:1	9031.378	169.818	53.750	171	128	761	0.681	162	1	2.240	0.446	0.921	302.948	265.439	20.124
