 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD31_SEM_Sam20-ECS_2021.03.24_s2:0001-0551:1	214948.150	215.683	282.683	155	122	5223	0.635	156	1	2.434	0.411	0.959	179.356	161.371	25.116
2	MD31_SEM_Sam20-ECS_2021.03.24_s2:0002-0473:1	37450.475	178.613	166.228	147	123	3433	0.233	147	1	1.306	0.766	0.519	247.926	275.969	11.514
3	MD31_SEM_Sam20-ECS_2021.03.24_s2:0003-0417:1	6259.773	184.177	109.560	160	147	1312	0.810	164	1	1.242	0.805	0.946	521.403	665.129	25.684
4	MD31_SEM_Sam20-ECS_2021.03.24_s2:0004-0423:1	6969.574	210.029	235.244	162	135	2911	0.655	163	1	2.016	0.496	0.898	608.519	800.149	17.653
5	MD31_SEM_Sam20-ECS_2021.03.24_s2:0005-0426:1	6915.494	193.706	201.345	158	141	2493	0.700	160	1	2.300	0.435	0.945	535.247	677.813	34.650
6	MD31_SEM_Sam20-ECS_2021.03.24_s2:0006-0423:1	9741.179	184.753	174.204	155	144	2520	0.669	157	1	1.898	0.527	0.928	408.701	530.646	21.585
7	MD31_SEM_Sam20-ECS_2021.03.24_s2:0007-0438:1	3745.047	238.466	378.603	159	146	4207	0.191	159	1	2.487	0.402	0.417	340.469	506.371	3.774
8	MD31_SEM_Sam20-ECS_2021.03.24_s2:0008-0446:1	7956.536	184.968	217.009	155	145	3830	0.780	158	1	1.693	0.591	0.954	368.560	516.935	34.706
9	MD31_SEM_Sam20-ECS_2021.03.24_s2:0009-0446:1	6645.093	192.003	188.771	158	150	2462	0.708	160	1	1.573	0.636	0.886	446.663	574.952	30.561
10	MD31_SEM_Sam20-ECS_2021.03.24_s2:0010-0451:1	8896.178	171.717	137.285	152	144	2302	0.754	154	1	1.528	0.655	0.930	368.742	442.587	48.203
11	MD31_SEM_Sam20-ECS_2021.03.24_s2:0011-0459:1	8436.497	173.296	122.589	155	123	2177	0.608	157	1	2.486	0.402	0.919	500.314	743.442	45.119
12	MD31_SEM_Sam20-ECS_2021.03.24_s2:0012-0452:1	7638.815	174.077	108.836	160	147	2031	0.764	160	1	1.460	0.685	0.938	452.506	514.158	56.173
13	MD31_SEM_Sam20-ECS_2021.03.24_s2:0013-0459:1	8112.016	195.861	237.435	163	126	4012	0.714	161	1	1.859	0.538	0.952	478.575	708.725	32.018
14	MD31_SEM_Sam20-ECS_2021.03.24_s2:0014-0452:1	6273.293	171.012	104.161	155	147	1551	0.793	155	1	1.277	0.783	0.953	394.388	434.713	34.288
15	MD31_SEM_Sam20-ECS_2021.03.24_s2:0015-0460:1	6658.613	167.036	69.110	159	149	1330	0.726	159	1	1.842	0.543	0.931	391.113	482.314	63.894
16	MD31_SEM_Sam20-ECS_2021.03.24_s2:0016-0486:1	12215.344	160.742	74.010	150	135	1374	0.516	151	1	2.711	0.369	0.880	343.693	389.598	43.623
17	MD31_SEM_Sam20-ECS_2021.03.24_s2:0017-0468:1	9815.540	215.492	309.125	131	126	4326	0.824	161	1	1.293	0.774	0.950	482.395	723.181	23.703
18	MD31_SEM_Sam20-ECS_2021.03.24_s2:0018-0479:1	9727.659	174.224	132.502	158	135	2398	0.674	157	1	2.293	0.436	0.924	407.128	506.800	37.327
19	MD31_SEM_Sam20-ECS_2021.03.24_s2:0019-0480:1	9666.819	183.687	152.096	155	130	2656	0.661	156	1	2.015	0.496	0.902	556.463	635.922	59.822
20	MD31_SEM_Sam20-ECS_2021.03.24_s2:0020-0466:1	2088.844	187.744	181.329	160	147	2020	0.827	160	1	1.062	0.942	0.906	213.907	247.829	8.939
21	MD31_SEM_Sam20-ECS_2021.03.24_s2:0021-0473:1	5887.972	155.846	43.350	147	139	798	0.791	150	1	1.490	0.671	0.926	301.822	348.163	28.365
22	MD31_SEM_Sam20-ECS_2021.03.24_s2:0022-0477:1	6969.574	187.314	338.555	145	134	5166	0.765	145	1	1.497	0.668	0.909	416.552	619.909	30.254
