 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD28_GAL_Sam48-ECS_2021.03.24_s0:0001-0480:1	11485.263	189.304	120.352	157	121	1417	0.120	161	1	2.867	0.349	0.342	231.443	162.594	9.172
2	MD28_GAL_Sam48-ECS_2021.03.24_s0:0002-0429:1	3096.086	192.076	78.555	173	142	964	0.798	174	1	1.687	0.593	0.934	296.372	233.636	13.022
3	MD28_GAL_Sam48-ECS_2021.03.24_s0:0003-0449:1	7774.016	171.083	69.595	158	118	937	0.650	158	1	1.795	0.557	0.837	256.576	195.969	24.299
4	MD28_GAL_Sam48-ECS_2021.03.24_s0:0004-0462:1	3528.727	174.050	38.927	166	143	588	0.743	166	1	1.777	0.563	0.930	272.148	169.576	23.502
5	MD28_GAL_Sam48-ECS_2021.03.24_s0:0005-0485:1	5833.892	163.491	61.158	152	119	723	0.700	152	1	1.995	0.501	0.907	200.552	117.292	23.513
6	MD28_GAL_Sam48-ECS_2021.03.24_s0:0006-0496:1	6225.972	166.718	46.049	169	121	629	0.770	162	1	1.693	0.591	0.927	286.176	192.192	27.225
7	MD28_GAL_Sam48-ECS_2021.03.24_s0:0007-0537:1	7490.095	183.090	71.004	174	131	817	0.347	170	1	5.516	0.181	0.717	297.227	216.869	19.426
8	MD28_GAL_Sam48-ECS_2021.03.24_s0:0008-0530:1	7010.134	175.044	57.718	166	130	854	0.565	165	1	2.749	0.364	0.885	249.048	167.208	21.848
9	MD28_GAL_Sam48-ECS_2021.03.24_s0:0009-0558:1	5137.610	172.896	58.717	171	127	958	0.671	168	1	2.250	0.444	0.948	296.874	219.170	12.876
10	MD28_GAL_Sam48-ECS_2021.03.24_s0:0010-0576:1	1047.802	199.045	110.227	162	130	772	0.168	163	1	6.352	0.157	0.412	209.551	129.903	2.110
11	MD28_GAL_Sam48-ECS_2021.03.24_s0:0011-0669:1	7517.135	232.114	215.220	193	166	3430	0.545	200	1	3.052	0.328	0.829	737.518	1103.274	18.039
12	MD28_GAL_Sam48-ECS_2021.03.24_s0:0012-0677:1	7334.615	215.544	104.169	190	169	1697	0.650	196	1	2.261	0.442	0.867	744.872	905.341	24.093
13	MD28_GAL_Sam48-ECS_2021.03.24_s0:0013-0691:1	7131.814	215.235	222.856	186	168	3947	0.751	188	1	1.866	0.536	0.935	477.497	598.136	26.709
14	MD28_GAL_Sam48-ECS_2021.03.24_s0:0014-0708:1	1264.123	257.626	277.300	191	146	1924	0.113	191	1	3.174	0.315	0.252	354.959	494.390	1.914
15	MD28_GAL_Sam48-ECS_2021.03.24_s0:0015-0714:1	8064.696	239.750	242.700	177	157	3278	0.810	183	1	1.690	0.592	0.946	400.479	552.491	16.991
16	MD28_GAL_Sam48-ECS_2021.03.24_s0:0016-0717:1	6780.294	189.275	18.014	186	153	530	0.718	187	1	1.987	0.503	0.904	401.292	511.103	27.104
17	MD28_GAL_Sam48-ECS_2021.03.24_s0:0017-0739:1	6618.053	206.106	151.754	187	165	2308	0.778	185	1	1.295	0.772	0.939	462.416	577.295	18.600
18	MD28_GAL_Sam48-ECS_2021.03.24_s0:0018-0744:1	709.801	243.943	196.589	139	139	1855	0.266	212	1	7.760	0.129	0.753	333.428	427.604	2.133
19	MD28_GAL_Sam48-ECS_2021.03.24_s0:0019-0757:1	15798.152	218.739	171.343	187	150	2868	0.420	191	1	2.978	0.336	0.808	547.871	760.033	28.462
20	MD28_GAL_Sam48-ECS_2021.03.24_s0:0020-0745:1	777.402	158.835	127.769	137	131	1289	0.371	139	1	2.307	0.433	0.591	280.639	388.523	3.183
21	MD28_GAL_Sam48-ECS_2021.03.24_s0:0021-0781:1	4421.049	212.448	132.368	169	124	1298	0.122	175	1	2.939	0.340	0.271	221.072	156.121	3.809
22	MD28_GAL_Sam48-ECS_2021.03.24_s0:0022-0790:1	9910.180	190.284	87.455	171	159	1470	0.469	174	1	3.850	0.260	0.848	277.958	218.847	31.343
