 	Label	Area	Mean	StdDev	Mode	Min	Max	Circ.	Median	Ch	AR	Round	Solidity	Mean_boundary	StdDev_boundary	Mean_distance
1	MD12_GAL-ECS_2021.03.24_s0:0001-0668:1	3251.567	259.218	63.972	237	215	984	0.612	242	1	2.859	0.350	0.915	620.503	610.222	14.050
2	MD12_GAL-ECS_2021.03.24_s0:0002-0687:1	5854.172	247.760	194.313	217	192	3360	0.773	217	1	1.233	0.811	0.935	587.556	549.282	25.559
3	MD12_GAL-ECS_2021.03.24_s0:0003-0686:1	4840.170	247.951	100.510	226	200	1381	0.507	229	1	2.671	0.374	0.808	628.412	619.721	26.365
4	MD12_GAL-ECS_2021.03.24_s0:0004-0700:1	8767.738	202.254	75.557	186	161	1419	0.725	193	1	1.742	0.574	0.909	511.000	561.807	23.329
5	MD12_GAL-ECS_2021.03.24_s0:0005-0703:1	5800.092	231.885	123.816	210	194	2712	0.657	216	1	2.446	0.409	0.929	646.953	677.109	29.697
6	MD12_GAL-ECS_2021.03.24_s0:0006-0705:1	5881.212	233.995	195.524	192	147	2533	0.488	198	1	3.710	0.270	0.871	365.836	425.813	17.164
7	MD12_GAL-ECS_2021.03.24_s0:0007-0719:1	6104.292	268.134	218.918	210	174	2658	0.760	215	1	1.902	0.526	0.937	612.342	593.561	52.133
8	MD12_GAL-ECS_2021.03.24_s0:0008-0719:1	6929.014	223.437	202.830	189	140	3593	0.579	190	1	2.906	0.344	0.938	468.048	504.642	37.305
9	MD12_GAL-ECS_2021.03.24_s0:0009-0715:1	2758.086	213.659	110.670	199	178	1650	0.584	197	1	3.008	0.332	0.926	432.623	438.843	16.402
10	MD12_GAL-ECS_2021.03.24_s0:0010-0736:1	14926.110	205.132	98.638	197	169	2709	0.496	196	1	3.658	0.273	0.884	517.815	600.243	35.128
11	MD12_GAL-ECS_2021.03.24_s0:0011-0738:1	7949.776	239.604	148.900	203	185	1893	0.762	208	1	1.177	0.850	0.889	488.582	538.552	58.666
12	MD12_GAL-ECS_2021.03.24_s0:0012-0730:1	2818.926	201.532	43.584	192	175	976	0.468	195	1	2.771	0.361	0.777	482.369	427.153	26.777
13	MD12_GAL-ECS_2021.03.24_s0:0013-0739:1	4292.609	247.776	214.594	182	163	2109	0.692	194	1	2.084	0.480	0.850	491.426	481.166	42.650
14	MD12_GAL-ECS_2021.03.24_s0:0014-0739:1	4752.290	189.818	70.317	173	158	1183	0.704	181	1	2.100	0.476	0.931	400.805	435.492	22.532
15	MD12_GAL-ECS_2021.03.24_s0:0015-0745:1	4028.968	224.891	125.300	212	185	2084	0.734	209	1	1.079	0.927	0.896	388.711	423.690	66.233
16	MD12_GAL-ECS_2021.03.24_s0:0016-0746:1	6699.173	205.429	138.851	182	149	2021	0.617	184	1	2.413	0.414	0.917	379.730	435.495	57.194
17	MD12_GAL-ECS_2021.03.24_s0:0017-0760:1	12614.185	197.437	159.716	137	130	1926	0.767	177	1	1.476	0.678	0.919	236.031	226.794	11.356
18	MD12_GAL-ECS_2021.03.24_s0:0018-0750:1	5644.611	174.978	62.772	165	145	805	0.689	164	1	1.835	0.545	0.906	320.826	323.490	17.687
19	MD12_GAL-ECS_2021.03.24_s0:0019-0755:1	6983.094	216.740	153.759	186	151	1930	0.757	188	1	1.160	0.862	0.943	325.990	376.862	19.801
20	MD12_GAL-ECS_2021.03.24_s0:0020-0760:1	9741.179	195.947	95.015	176	154	1269	0.641	178	1	2.007	0.498	0.875	392.663	412.277	24.650
21	MD12_GAL-ECS_2021.03.24_s0:0021-0766:1	7861.896	210.116	125.718	188	164	1750	0.620	188	1	2.235	0.448	0.858	447.461	516.004	29.580
22	MD12_GAL-ECS_2021.03.24_s0:0022-0768:1	9538.379	192.777	124.693	172	134	1681	0.765	172	1	1.142	0.876	0.909	342.561	391.045	34.965
23	MD12_GAL-ECS_2021.03.24_s0:0023-0761:1	8571.697	194.026	95.849	180	141	1498	0.811	181	1	1.051	0.951	0.945	351.953	372.999	20.214
24	MD12_GAL-ECS_2021.03.24_s0:0024-0765:1	9578.939	226.366	127.659	202	180	2291	0.494	206	1	3.267	0.306	0.891	516.440	561.733	20.284
25	MD12_GAL-ECS_2021.03.24_s0:0025-0755:1	4481.889	201.943	80.636	181	171	1096	0.593	187	1	2.552	0.392	0.860	513.920	520.838	38.211
